,Layer,Ulcerative_colitis nodes,Crohn_disease nodes,sAB
0,coex_KDN,33,35,-0.2021390374331551
1,coex_BST,15,27,-0.2914246999612855
2,coex_OVR,21,28,-0.6088435374149659
3,coex_LNG,30,27,-0.5016420361247949
4,coex_ITI,35,38,-0.31488648090815285
5,coex_VGN,24,26,-0.6702040816326531
6,coex_HRV,22,19,-0.35683760683760735
7,coex_MSG,33,35,-0.2832822494669509
8,coex_ADV,23,25,-0.2901449275362322
9,coex_EMS,23,23,-0.38050065876152805
10,coex_SMU,16,21,-0.49199646074646086
11,coex_ARG,12,23,-0.13783643892339548
12,coex_TST,22,26,-0.24315268065268092
13,coex_PIT,25,29,-0.5224056603773586
14,coex_LVR,31,30,-0.5095947788817454
15,coex_THY,18,24,-0.43055555555555536
16,coex_PNC,23,24,-0.4533102766798416
17,coex_ATC,26,28,-0.2553908355795147
18,coex_BRO,24,26,-0.6844230769230766
19,coex_SKN,22,24,-0.497941370223979
20,coex_ADS,20,23,-0.5198866732047511
21,coex_GEJ,28,28,-0.16071428571428603
22,coex_BRB,21,17,-0.7169713831478537
23,coex_UTR,11,18,-1.2565308254963428
24,coex_STM,32,32,-0.421875
25,coex_HRA,22,23,-0.7090909090909092
26,coex_PRS,25,23,-0.5226086956521736
27,coex_ATA,25,30,-0.5209090909090905
28,coex_FIB,14,17,-0.025345622119815614
29,coex_BRC,19,23,-0.5601503759398498
30,coex_ATT,19,23,-0.08627027657836384
31,coex_TNV,21,24,-0.49821428571428594
32,coex_SPL,30,31,-0.49290498854221765
33,coex_LCL,15,17,-0.9426866237211067
34,coex_CLS,27,32,-0.20628183361629882
35,coex_EMC,25,27,-0.4292877492877496
36,coex_CLT,30,37,-0.47579799627213415
37,coex_core,31,35,-0.30661947160998393
38,coex_WBL,30,34,-0.390625
39,co-essential,11,10,-0.8520202020202019
40,GOBP,16,13,-0.8122710622710623
41,ppi,50,50,-0.32000000000000006
42,reactome_copathway,17,30,-0.24544727451704218
43,MP,16,11,-0.9459207459207457
44,HP,22,25,-0.2854158607350097
45,GI_net,23,16,-0.9874904652936689
46,gene_gene_on_CbG_name_mapped,9,16,-0.020416666666666528
47,gene_gene_on_GcG_name_mapped,26,29,-0.508765372558476
48,GOMF,7,6,
