,Layer,Gingivostomatitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,33,40,-0.1268109173931089
1,coex_BST,11,23,-0.3308300395256918
2,coex_OVR,16,23,-0.0566123188405796
3,coex_LNG,36,30,0.8238095238095235
4,coex_ITI,27,40,0.023756218905472526
5,coex_VGN,17,29,0.1397830496516448
6,coex_HRV,21,19,0.604157452454666
7,coex_MSG,34,31,0.036825980392156676
8,coex_ADV,27,25,0.8851443587468433
9,coex_EMS,16,23,-0.25734430082256177
10,coex_SMU,13,23,-0.022877846790890333
11,coex_ARG,12,19,-0.024759479343519963
12,coex_TST,19,32,-0.06437048503611975
13,coex_PIT,21,26,-0.0625
14,coex_LVR,36,26,0.06489523021781074
15,coex_THY,17,31,-0.44659234661606595
16,coex_PNC,19,27,-0.0694974150351726
17,coex_ATC,27,24,0.1682820285304758
18,coex_BRO,23,25,0.19050724637681138
19,coex_SKN,18,25,-0.05555555555555536
20,coex_ADS,20,21,-0.21576655052264782
21,coex_GEJ,32,25,0.5478507905138343
22,coex_BRB,21,21,0.34268292682926815
23,coex_UTR,10,21,-0.013901689708140985
24,coex_STM,32,32,0.46875
25,coex_HRA,20,23,0.18030517261694357
26,coex_PRS,17,27,-0.03443328550932545
27,coex_ATA,27,18,0.246296296296296
28,coex_FIB,13,24,0.06739431739431723
29,coex_BRC,17,25,-0.17082137733142044
30,coex_ATT,19,24,-0.08749495221429537
31,coex_TNV,12,17,-0.3303571428571428
32,coex_SPL,34,32,0.3853609625668448
33,coex_LCL,14,20,0.1578947368421051
34,coex_CLS,24,34,0.025618503879373478
35,coex_EMC,29,32,0.01928068223952506
36,coex_CLT,24,38,-0.07407862407862398
37,coex_core,36,37,0.6021008403361345
38,coex_WBL,35,30,0.1472136699507387
39,co-essential,5,4,-0.1499999999999999
40,GOBP,12,23,0.2195027195027195
41,ppi,50,50,0.040000000000000036
42,reactome_copathway,28,22,-0.14826839826839833
43,MP,11,17,0.7028265851795261
44,HP,23,35,0.36309702291711266
45,GI_net,24,25,-0.3913043478260867
46,gene_gene_on_CbG_name_mapped,22,10,0.07443181818181821
47,gene_gene_on_GcG_name_mapped,27,32,-0.1876863622096674
48,GOMF,4,8,
