,Layer,Nephroblastoma nodes,Neoplasm_of_uterus nodes,sAB
0,coex_KDN,44,46,-0.19897891963109338
1,coex_BST,31,34,-0.23002481389578167
2,coex_OVR,33,31,-0.40939638318670557
3,coex_LNG,37,38,-0.3332100521574206
4,coex_ITI,41,43,-0.34421845879588364
5,coex_VGN,40,35,-0.1734523809523809
6,coex_HRV,16,20,-0.5119047619047623
7,coex_MSG,41,41,-0.19512195121951237
8,coex_ADV,29,27,-0.28277230432402845
9,coex_EMS,33,37,-0.28098748098748105
10,coex_SMU,31,29,-0.06551724137931059
11,coex_ARG,30,26,-0.28060606060606075
12,coex_TST,42,39,-0.12189662189662176
13,coex_PIT,35,32,-0.30933502132196167
14,coex_LVR,35,32,-0.21395255863539453
15,coex_THY,27,32,-0.3920080037664784
16,coex_PNC,34,36,-0.3939045183290708
17,coex_ATC,34,35,-0.2265011839199722
18,coex_BRO,33,31,-0.2502160138248848
19,coex_SKN,37,38,-0.22972972972972983
20,coex_ADS,25,31,-0.9569729286300244
21,coex_GEJ,33,35,-0.41821028784648173
22,coex_BRB,15,24,-0.5692462648984389
23,coex_UTR,32,30,-0.43407292255511587
24,coex_STM,40,39,-0.22940603700097384
25,coex_HRA,30,30,-0.2500000000000002
26,coex_PRS,33,35,-0.34080723198370255
27,coex_ATA,32,33,-0.2846713098729228
28,coex_FIB,34,30,-0.2822916666666666
29,coex_BRC,32,33,-0.09554924242424234
30,coex_ATT,31,35,-0.4298282362798491
31,coex_TNV,18,20,-0.8142414860681115
32,coex_SPL,37,35,-0.36369583869583866
33,coex_LCL,31,24,-0.43339920948616606
34,coex_CLS,37,39,-0.27867521367521375
35,coex_EMC,38,38,-0.2236842105263157
36,coex_CLT,41,42,-0.3001413318780348
37,coex_core,40,39,-0.20279130152547875
38,coex_WBL,32,38,-0.28648966165413525
39,co-essential,21,15,-0.4130211893369786
40,GOBP,4,9,-1.3392857142857144
41,ppi,48,49,-0.14457535591556203
42,reactome_copathway,20,31,-0.08344772363303576
43,MP,13,12,-0.16504329004329055
44,HP,41,36,0.006355013550135569
45,GI_net,32,30,-0.22777190199189157
46,gene_gene_on_CbG_name_mapped,7,13,-0.9807692307692308
47,gene_gene_on_GcG_name_mapped,37,31,-0.2046002359095338
48,GOMF,2,7,
