,Layer,Eczematoid_dermatitis nodes,Ichthyosis_vulgaris nodes,sAB
0,coex_KDN,43,32,-0.45732718894009206
1,coex_BST,19,19,-0.28947368421052655
2,coex_OVR,32,34,-0.42415886809269177
3,coex_LNG,33,24,-0.46212121212121193
4,coex_ITI,30,21,-0.34061624649859934
5,coex_VGN,36,39,-0.42358974358974355
6,coex_HRV,13,11,0.2426421404682273
7,coex_MSG,35,38,-0.15995872033023728
8,coex_ADV,21,15,-0.08928571428571441
9,coex_EMS,27,27,-0.29866150620867593
10,coex_SMU,25,22,-0.5251345755693582
11,coex_ARG,25,20,-0.5333987141767462
12,coex_TST,31,21,-0.18317520556609757
13,coex_PIT,26,21,-0.2050697529420933
14,coex_LVR,26,19,-0.35800310800310786
15,coex_THY,28,18,-0.21954796411318123
16,coex_PNC,23,17,0.07199488491048589
17,coex_ATC,28,19,-0.3513637817949127
18,coex_BRO,24,20,-0.3771929824561404
19,coex_SKN,34,40,0.042759147916279217
20,coex_ADS,27,32,-0.2241937382297552
21,coex_GEJ,31,32,-0.33333333333333326
22,coex_BRB,18,15,-0.5626344086021504
23,coex_UTR,18,17,-0.7121212121212119
24,coex_STM,26,21,-0.673213311511184
25,coex_HRA,19,18,0.183262209577999
26,coex_PRS,28,22,-0.26727272727272755
27,coex_ATA,26,17,-0.4116331684731138
28,coex_FIB,18,21,-0.3122291021671826
29,coex_BRC,18,16,0.29840686274509753
30,coex_ATT,27,17,-0.12546277252159577
31,coex_TNV,16,22,-0.26913875598086134
32,coex_SPL,33,23,-0.46158008658008653
33,coex_LCL,17,13,-0.5558069381598794
34,coex_CLS,26,18,-0.6561875197306113
35,coex_EMC,35,35,-0.40594933625624163
36,coex_CLT,32,22,-0.3669207136949071
37,coex_core,39,37,-0.2760604734288943
38,coex_WBL,33,29,-0.49120005677382705
39,co-essential,7,10,-0.7571428571428571
40,GOBP,22,21,-0.5952380952380953
41,ppi,50,49,-0.3333828076685219
42,reactome_copathway,22,15,-0.31209677419354853
43,MP,14,17,-0.8006033182503769
44,HP,44,42,-0.27974932044699496
45,GI_net,19,18,-0.45343137254902
46,gene_gene_on_CbG_name_mapped,7,11,-0.01443001443001446
47,gene_gene_on_GcG_name_mapped,33,28,-0.35457916400539347
48,GOMF,6,5,
