,Layer,Head_and_neck_cancer nodes,Squamous_cell_carcinoma_of_the_head_and_neck nodes,sAB
0,coex_KDN,40,43,-0.18130081300812995
1,coex_BST,29,29,-0.36206896551724155
2,coex_OVR,34,32,-0.4107063279857399
3,coex_LNG,38,37,-0.3264185237869448
4,coex_ITI,35,36,-0.3238933601609657
5,coex_VGN,39,35,-0.1637857637857636
6,coex_HRV,16,17,-0.34375
7,coex_MSG,40,39,-0.31609461213891565
8,coex_ADV,22,25,-0.5672760210803687
9,coex_EMS,28,32,-0.4013392857142857
10,coex_SMU,24,29,-0.43172576447625244
11,coex_ARG,30,31,-0.32004078605858344
12,coex_TST,36,39,-0.10487179487179477
13,coex_PIT,31,31,-0.29032258064516103
14,coex_LVR,36,32,-0.4076325362435136
15,coex_THY,36,35,-0.6142857142857143
16,coex_PNC,32,30,-0.4519825268817206
17,coex_ATC,32,37,-0.45426944971536964
18,coex_BRO,32,33,-0.140625
19,coex_SKN,36,34,-0.11631652661064429
20,coex_ADS,25,28,-0.5425824175824174
21,coex_GEJ,34,25,-0.5053082549634276
22,coex_BRB,26,25,-0.11461538461538456
23,coex_UTR,25,29,-0.30666666666666687
24,coex_STM,38,35,-0.3006437326192193
25,coex_HRA,28,31,-0.3984710614699678
26,coex_PRS,28,30,-0.55307881773399
27,coex_ATA,26,31,-0.4375757575757575
28,coex_FIB,31,33,-0.5316196236559141
29,coex_BRC,33,33,-0.12121212121212133
30,coex_ATT,32,34,-0.22681451612903247
31,coex_TNV,19,18,-0.5357609710550886
32,coex_SPL,35,33,-0.23516679399032325
33,coex_LCL,26,23,-0.23493276909425997
34,coex_CLS,35,34,-0.12846956964604006
35,coex_EMC,36,33,-0.18608075692963766
36,coex_CLT,35,35,-0.30245402508829633
37,coex_core,35,36,-0.1997137985629034
38,coex_WBL,32,32,-0.421875
39,co-essential,22,20,-0.20786815523657642
40,GOBP,12,13,-0.24999999999999956
41,ppi,50,50,-0.13000000000000012
42,reactome_copathway,27,31,-0.13644562334217514
43,MP,11,11,-0.13157894736842124
44,HP,39,34,-0.20452385379863203
45,GI_net,32,35,-0.24787446695095938
46,gene_gene_on_CbG_name_mapped,19,21,-0.3069548872180451
47,gene_gene_on_GcG_name_mapped,35,25,-0.20047619047619025
48,GOMF,7,4,
