,Layer,Chorea nodes,Inflammatory_bowel_disease nodes,sAB
0,coex_KDN,41,36,0.060174919931017534
1,coex_BST,35,20,0.3163943355119827
2,coex_OVR,37,28,0.12658730158730158
3,coex_LNG,39,32,-0.02878411910669998
4,coex_ITI,42,36,0.30723443223443225
5,coex_VGN,40,27,0.2987907683803206
6,coex_HRV,16,18,0.2695521390374327
7,coex_MSG,41,34,0.051793400286944236
8,coex_ADV,31,27,0.314351851851852
9,coex_EMS,36,23,0.1591779867641936
10,coex_SMU,35,22,-0.1045226703121438
11,coex_ARG,37,21,-0.19085341499134612
12,coex_TST,43,24,0.0984033321763278
13,coex_PIT,41,28,0.17702853499123217
14,coex_LVR,33,33,-0.045454545454545414
15,coex_THY,32,21,0.47843554295167223
16,coex_PNC,37,23,0.11259302781041924
17,coex_ATC,35,31,0.14416980868593798
18,coex_BRO,42,27,0.38584080975385326
19,coex_SKN,39,28,0.04985754985754953
20,coex_ADS,30,20,0.5155775075987838
21,coex_GEJ,40,25,0.24107142857142838
22,coex_BRB,26,21,0.5428259683578829
23,coex_UTR,30,18,0.024342928660826324
24,coex_STM,39,31,0.06996904024767803
25,coex_HRA,40,21,0.15349336455893825
26,coex_PRS,34,25,0.06276171485543358
27,coex_ATA,30,28,0.25385878489326785
28,coex_FIB,33,15,-0.11212121212121207
29,coex_BRC,43,25,-0.043778202013189826
30,coex_ATT,34,26,0.0023664638269100813
31,coex_TNV,16,19,-0.12479575163398682
32,coex_SPL,36,31,0.08263119884448722
33,coex_LCL,26,22,0.08549606421946843
34,coex_CLS,35,31,0.29610529556650267
35,coex_EMC,39,28,0.08625143513203204
36,coex_CLT,38,32,0.4129934210526316
37,coex_core,41,36,0.29366810138689625
38,coex_WBL,36,32,-0.12918709150326801
39,co-essential,11,8,-0.02268907563025202
40,GOBP,20,21,0.3716911764705886
41,ppi,49,49,0.36734693877551017
42,reactome_copathway,18,21,0.37918233082706765
43,MP,12,19,1.6027777777777779
44,HP,42,30,1.0523809523809526
45,GI_net,20,25,0.3982813137494903
46,gene_gene_on_CbG_name_mapped,12,7,-0.17230576441102752
47,gene_gene_on_GcG_name_mapped,39,29,0.12196390492536535
48,GOMF,3,8,
