,Layer,Epilepsy nodes,Benign_Neonatal_Epilepsy nodes,sAB
0,coex_KDN,21,28,-0.5297619047619049
1,coex_BST,15,21,-0.19880952380952377
2,coex_OVR,7,13,-0.25469924812030076
3,coex_LNG,13,19,-0.08991228070175428
4,coex_ITI,16,26,-0.2954971857410882
5,coex_VGN,18,28,-0.1934092477570739
6,coex_HRV,7,17,-0.6631652661064429
7,coex_MSG,16,20,-0.37222222222222223
8,coex_ADV,11,15,-0.0009324009324007676
9,coex_EMS,12,20,-0.552083333333333
10,coex_SMU,12,16,-0.5714285714285714
11,coex_ARG,21,19,-0.3783208020050124
12,coex_TST,21,29,-0.3833825944170772
13,coex_PIT,27,31,-0.3838833271536275
14,coex_LVR,14,20,-0.17457983193277316
15,coex_THY,13,17,-0.2301889920424407
16,coex_PNC,19,22,-0.4919768934531452
17,coex_ATC,14,21,-0.22857142857142865
18,coex_BRO,30,39,-0.2547380156075809
19,coex_SKN,14,21,-0.31932773109243695
20,coex_ADS,9,17,-0.49541666666666684
21,coex_GEJ,14,20,0.05885780885780889
22,coex_BRB,25,36,-0.4656131605184446
23,coex_UTR,15,10,-0.6130952380952379
24,coex_STM,17,20,-0.08406200317965018
25,coex_HRA,14,19,-0.3234126984126986
26,coex_PRS,14,13,-0.46153846153846123
27,coex_ATA,12,19,-0.5269537480063797
28,coex_FIB,11,12,-0.9016798418972334
29,coex_BRC,29,35,-0.42121848739495804
30,coex_ATT,12,18,-0.33055555555555527
31,coex_TNV,10,18,-0.5618191721132897
32,coex_SPL,13,16,-0.30760941644562356
33,coex_LCL,9,5,-0.337662337662338
34,coex_CLS,15,27,-0.21005291005291005
35,coex_EMC,13,20,-0.07651515151515165
36,coex_CLT,14,27,-0.3446896373725643
37,coex_core,13,22,-0.09630369630369628
38,coex_WBL,14,8,0.5284090909090908
39,co-essential,6,4,-0.08333333333333304
40,GOBP,19,25,-0.2129433250854249
41,ppi,49,48,-0.216032418121888
42,reactome_copathway,17,20,-0.44089635854341735
43,MP,14,10,0.6373987854251015
44,HP,43,38,-0.10167429771672931
45,GI_net,18,12,-0.1407407407407406
46,gene_gene_on_CbG_name_mapped,16,23,-0.32333472686733555
47,gene_gene_on_GcG_name_mapped,31,33,-0.22811278103616806
48,GOMF,2,7,
