,Layer,Epididymitis nodes,Adrenal_insufficiency nodes,sAB
0,coex_KDN,38,32,0.26000048962005473
1,coex_BST,18,22,0.1730769230769229
2,coex_OVR,26,30,0.29166666666666696
3,coex_LNG,34,23,0.6060606060606064
4,coex_ITI,35,26,-0.08089533417402284
5,coex_VGN,30,24,0.19369442637171974
6,coex_HRV,21,11,-0.2681650246305418
7,coex_MSG,35,25,-0.0019047619047620756
8,coex_ADV,28,26,0.10394592619656562
9,coex_EMS,26,23,0.42431159420289877
10,coex_SMU,22,23,-0.045454545454545414
11,coex_ARG,20,27,0.18929765886287608
12,coex_TST,28,33,0.06005606415442477
13,coex_PIT,31,32,0.016153033794162663
14,coex_LVR,32,25,0.13308755760368673
15,coex_THY,28,23,-0.022272727272727444
16,coex_PNC,23,20,-0.056395348837209536
17,coex_ATC,33,27,0.2870370370370372
18,coex_BRO,27,28,0.37037037037037024
19,coex_SKN,27,26,0.11951734539969827
20,coex_ADS,28,20,-0.1771760318671074
21,coex_GEJ,29,28,0.562605363984674
22,coex_BRB,25,15,-0.11499999999999977
23,coex_UTR,17,22,0.04395933014354059
24,coex_STM,31,24,0.19302297165200377
25,coex_HRA,20,26,0.21664582030435664
26,coex_PRS,27,23,0.13737970104429742
27,coex_ATA,22,30,0.3590038314176245
28,coex_FIB,15,19,-0.04035087719298236
29,coex_BRC,19,25,0.4627447980416157
30,coex_ATT,25,23,0.46417794970986437
31,coex_TNV,22,15,0.004112554112554179
32,coex_SPL,33,30,0.15483405483405477
33,coex_LCL,20,21,-0.2991452991452992
34,coex_CLS,31,27,-0.013299377475947782
35,coex_EMC,31,24,0.2741813294232651
36,coex_CLT,35,25,0.3071078431372549
37,coex_core,37,30,0.3698214343375632
38,coex_WBL,33,25,0.2835497835497838
39,co-essential,8,10,0.8305555555555553
40,GOBP,10,20,2.0324618736383444
41,ppi,50,46,0.21530797101449273
42,reactome_copathway,25,23,0.07785087719298245
43,MP,11,9,2.3611111111111107
44,HP,39,38,0.5454151112045849
45,GI_net,24,28,-0.004084967320261423
46,gene_gene_on_CbG_name_mapped,14,13,-0.00040700040700047957
47,gene_gene_on_GcG_name_mapped,28,24,0.038452380952380905
48,GOMF,2,8,
