,Layer,Neoplasm_of_esophagus nodes,Fibrosarcoma nodes,sAB
0,coex_KDN,36,44,-0.05774289002137101
1,coex_BST,20,26,0.0472408026755855
2,coex_OVR,29,35,-0.2678571428571428
3,coex_LNG,31,35,0.08602903527002237
4,coex_ITI,35,40,-0.05130952380952358
5,coex_VGN,28,38,-0.1894224196855776
6,coex_HRV,17,25,-0.22232185557149697
7,coex_MSG,36,42,-0.010378510378510342
8,coex_ADV,21,27,0.3544973544973544
9,coex_EMS,25,26,-0.09730769230769232
10,coex_SMU,21,33,-0.08922558922558932
11,coex_ARG,27,30,-0.2951515151515154
12,coex_TST,32,40,-0.036805555555555536
13,coex_PIT,29,39,-0.07567285153492076
14,coex_LVR,28,35,-0.13015873015873036
15,coex_THY,24,30,-0.2296296296296294
16,coex_PNC,25,34,-0.33989032901296135
17,coex_ATC,26,35,-0.3109172482552345
18,coex_BRO,31,34,-0.0866807765289741
19,coex_SKN,25,35,-0.12761904761904774
20,coex_ADS,22,31,-0.41270396270396237
21,coex_GEJ,20,27,-0.244152046783626
22,coex_BRB,27,23,-0.17938808373590964
23,coex_UTR,18,32,-0.4299305555555555
24,coex_STM,31,38,-0.242562929061785
25,coex_HRA,22,35,-0.040202779676463685
26,coex_PRS,24,33,-0.00029904306220096544
27,coex_ATA,24,33,-0.07752211556559407
28,coex_FIB,25,35,-0.1671209849620643
29,coex_BRC,25,37,-0.06903225806451618
30,coex_ATT,23,35,-0.017437805161590436
31,coex_TNV,19,24,-0.5058842759071593
32,coex_SPL,23,32,-0.3160820158102766
33,coex_LCL,12,26,-0.24305555555555536
34,coex_CLS,30,32,-0.07944990107405303
35,coex_EMC,29,33,-0.13575690160784704
36,coex_CLT,31,35,-0.025274725274725407
37,coex_core,34,40,-0.0356449106449106
38,coex_WBL,32,33,-0.03070044709388986
39,co-essential,9,11,-0.427997076023392
40,GOBP,16,5,0.8445512820512828
41,ppi,49,50,0.019453720882292247
42,reactome_copathway,24,29,0.2193877551020409
43,MP,11,6,0.4896103896103896
44,HP,17,35,0.14215686274509798
45,GI_net,28,23,-0.18707482993197266
46,gene_gene_on_CbG_name_mapped,18,14,-0.06299603174603163
47,gene_gene_on_GcG_name_mapped,25,35,-0.0014285714285715567
48,GOMF,5,2,
