,Layer,Diarrhea nodes,Osteomyelitis nodes,sAB
0,coex_KDN,25,40,0.003269230769230802
1,coex_BST,11,22,-0.02029220779220786
2,coex_OVR,7,27,-0.30685980685980674
3,coex_LNG,14,35,-0.010942249240121438
4,coex_ITI,29,38,-0.09210935073004056
5,coex_VGN,9,32,-0.016666666666666607
6,coex_HRV,6,20,-0.37500000000000044
7,coex_MSG,15,37,-0.18212058212058224
8,coex_ADV,11,29,-0.1687840290381124
9,coex_EMS,7,29,-0.08237547892720354
10,coex_SMU,8,24,0.04166666666666696
11,coex_ARG,9,26,0.4750326797385622
12,coex_TST,18,30,0.054166666666666696
13,coex_PIT,10,33,0.2013389711064133
14,coex_LVR,13,32,0.30389957264957257
15,coex_THY,16,27,0.16349052540913034
16,coex_PNC,12,29,0.4716848892626859
17,coex_ATC,11,37,-0.014230139230139383
18,coex_BRO,14,30,0.36861471861471884
19,coex_SKN,7,29,0.19526546250684174
20,coex_ADS,5,26,-0.0512820512820511
21,coex_GEJ,13,30,-0.023732856290995752
22,coex_BRB,7,25,0.40874999999999995
23,coex_UTR,6,22,0.3230952380952381
24,coex_STM,16,31,0.21943634179821547
25,coex_HRA,8,25,-0.15625
26,coex_PRS,6,25,-0.2583333333333333
27,coex_ATA,6,27,-0.0050925925925926485
28,coex_FIB,7,20,-0.4308201058201053
29,coex_BRC,10,24,0.31936274509803964
30,coex_ATT,6,26,-0.10657568238213377
31,coex_TNV,12,17,0.3194726166328601
32,coex_SPL,18,34,0.15899949723479123
33,coex_LCL,10,20,-0.4112976406533577
34,coex_CLS,23,33,0.2308547430830039
35,coex_EMC,15,35,-0.17366946778711512
36,coex_CLT,23,36,0.2856687172476646
37,coex_core,17,39,0.055668016194331926
38,coex_WBL,16,38,0.07718079922027288
39,co-essential,4,9,1.75
40,GOBP,22,21,0.32264808362369335
41,ppi,49,50,-0.042296433725005356
42,reactome_copathway,18,24,-0.028571428571428692
43,MP,18,9,-0.1317244846656611
44,HP,44,42,0.322196214638075
45,GI_net,15,21,-0.5296218487394957
46,gene_gene_on_CbG_name_mapped,12,15,-0.04814814814814805
47,gene_gene_on_GcG_name_mapped,30,28,-0.1924055829228244
48,GOMF,6,6,
