,Layer,Glioma nodes,Colonic_neoplasm nodes,sAB
0,coex_KDN,37,33,-0.21437931437931446
1,coex_BST,24,20,-0.29134199134199146
2,coex_OVR,23,17,-0.23375154257507225
3,coex_LNG,31,28,-0.34876199892885085
4,coex_ITI,37,28,-0.2384541134541136
5,coex_VGN,30,23,-0.32764561115668567
6,coex_HRV,12,15,-0.23703703703703694
7,coex_MSG,34,28,-0.2737869341284902
8,coex_ADV,22,18,-0.11691919191919187
9,coex_EMS,25,22,-0.29199226305609294
10,coex_SMU,25,17,0.02499999999999991
11,coex_ARG,20,19,-0.026450742240215597
12,coex_TST,36,24,-0.2652777777777777
13,coex_PIT,30,25,0.12229969920700023
14,coex_LVR,26,26,-0.03423831070889882
15,coex_THY,27,20,-0.37222222222222223
16,coex_PNC,25,21,0.09614906832298153
17,coex_ATC,29,26,-0.2984501347708899
18,coex_BRO,30,21,-0.38879551820728286
19,coex_SKN,28,23,-0.2214711971745218
20,coex_ADS,27,17,-0.552717086834734
21,coex_GEJ,24,24,-0.1681699044094973
22,coex_BRB,25,16,-0.2583333333333331
23,coex_UTR,19,16,0.06392973856209183
24,coex_STM,34,27,-0.2751526840244296
25,coex_HRA,19,19,-0.4054054054054055
26,coex_PRS,21,20,-0.26704260651629097
27,coex_ATA,27,20,-0.1208193979933112
28,coex_FIB,25,20,-0.11444444444444457
29,coex_BRC,31,20,-0.1436432637571161
30,coex_ATT,27,18,0.046984265734265396
31,coex_TNV,22,15,-0.7638655462184873
32,coex_SPL,27,22,-0.1249914107056962
33,coex_LCL,20,16,-0.06432748538011701
34,coex_CLS,30,32,-0.24076102317693637
35,coex_EMC,29,25,-0.14914658055587604
36,coex_CLT,36,26,-0.1470673952641166
37,coex_core,33,24,-0.3746706192358369
38,coex_WBL,30,28,-0.31174055829228275
39,co-essential,13,13,-0.5
40,GOBP,8,9,0.75
41,ppi,49,50,-0.04004122861265724
42,reactome_copathway,27,28,0.18885369532428342
43,MP,12,17,-0.5372421695951108
44,HP,25,21,-0.0694993412384719
45,GI_net,29,26,-0.1291189593076385
46,gene_gene_on_CbG_name_mapped,15,22,0.00839475839475834
47,gene_gene_on_GcG_name_mapped,26,30,-0.0167582417582417
48,GOMF,3,3,
