,Layer,Muscle_spasm nodes,Cerebral_palsy nodes,sAB
0,coex_KDN,40,41,-0.5540198735320685
1,coex_BST,35,30,-0.5261904761904761
2,coex_OVR,35,31,-0.5774891774891775
3,coex_LNG,35,35,-0.5571428571428572
4,coex_ITI,40,38,-0.48675775978407554
5,coex_VGN,37,32,-0.7247906874265571
6,coex_HRV,12,17,-1.0038032454361057
7,coex_MSG,37,36,-0.5880589493603192
8,coex_ADV,35,30,-0.901470588235294
9,coex_EMS,36,29,-0.5133141762452107
10,coex_SMU,37,30,-0.6777777777777778
11,coex_ARG,37,30,-0.5289214845313661
12,coex_TST,39,40,-0.5812682570593963
13,coex_PIT,42,39,-0.45553520553520555
14,coex_LVR,34,31,-0.4659611735513063
15,coex_THY,33,27,-0.91336118957941
16,coex_PNC,35,31,-0.6812037424940651
17,coex_ATC,35,32,-0.7621934968017055
18,coex_BRO,38,37,-0.716216216216216
19,coex_SKN,38,33,-0.7738729024866906
20,coex_ADS,28,28,-1.1071428571428572
21,coex_GEJ,35,28,-0.5703482957720245
22,coex_BRB,20,27,-0.957407407407407
23,coex_UTR,32,30,-0.5318241237987562
24,coex_STM,38,35,-0.588454011741683
25,coex_HRA,35,32,-0.5885461087420043
26,coex_PRS,34,31,-0.5136695372938258
27,coex_ATA,32,24,-0.9620535714285714
28,coex_FIB,32,27,-0.4394518989328311
29,coex_BRC,33,32,-0.46005926197458447
30,coex_ATT,35,32,-0.68396855010661
31,coex_TNV,16,17,-0.3576203208556148
32,coex_SPL,35,33,-0.6315635345047108
33,coex_LCL,27,24,-0.7271270396270395
34,coex_CLS,36,33,-0.4533926218708828
35,coex_EMC,36,33,-0.5649429073342116
36,coex_CLT,39,34,-0.38477551189074144
37,coex_core,39,33,-0.5048302636330804
38,coex_WBL,32,28,-0.6626488095238094
39,co-essential,11,12,-1.4766139657444006
40,GOBP,17,21,-0.7049812030075189
41,ppi,50,50,-0.31999999999999984
42,reactome_copathway,9,19,-0.16666666666666652
43,MP,13,13,-0.12175324675324672
44,HP,42,42,-0.19686411149825767
45,GI_net,25,23,-0.7730072463768114
46,gene_gene_on_CbG_name_mapped,11,8,-0.3504784688995217
47,gene_gene_on_GcG_name_mapped,30,31,-0.3759122157588577
48,GOMF,2,5,
