,Layer,Bronchiectasis nodes,Keratitis nodes,sAB
0,coex_KDN,36,34,0.054073342116820466
1,coex_BST,21,25,0.18730158730158708
2,coex_OVR,18,38,0.15998329156223878
3,coex_LNG,38,31,0.24711042311661524
4,coex_ITI,26,29,-0.04690679690679689
5,coex_VGN,21,38,0.08558472452317223
6,coex_HRV,12,17,0.24592074592074598
7,coex_MSG,26,41,0.11418050460642393
8,coex_ADV,16,29,0.03896103896103886
9,coex_EMS,16,32,0.046875
10,coex_SMU,17,26,0.0036567399768498987
11,coex_ARG,14,26,-0.19203296703296724
12,coex_TST,35,34,0.09900133966630142
13,coex_PIT,31,33,0.11195625610948179
14,coex_LVR,19,32,0.06219362745098045
15,coex_THY,29,24,0.14952016916070265
16,coex_PNC,22,31,-0.2425853716176296
17,coex_ATC,23,27,-0.19785338884717785
18,coex_BRO,32,33,0.5
19,coex_SKN,19,39,0.0462213225371122
20,coex_ADS,18,28,0.402372934862675
21,coex_GEJ,23,36,0.32376361254401065
22,coex_BRB,29,22,0.5828571428571427
23,coex_UTR,13,26,0.04137651821862365
24,coex_STM,27,28,0.0013107263107259293
25,coex_HRA,17,25,-0.05317073170731712
26,coex_PRS,22,30,0.14284836191529893
27,coex_ATA,19,25,-0.07201550387596889
28,coex_FIB,16,21,0.19192406692406694
29,coex_BRC,22,30,-0.320629370629371
30,coex_ATT,20,26,0.051421404682274297
31,coex_TNV,10,18,1.3550420168067228
32,coex_SPL,23,30,0.10545529122231345
33,coex_LCL,23,20,0.2565452091767879
34,coex_CLS,25,29,0.14536398467432932
35,coex_EMC,28,35,0.15683505040434254
36,coex_CLT,29,31,-0.06955967504969318
37,coex_core,32,41,0.32464116499442586
38,coex_WBL,28,28,0.22018999518999527
39,co-essential,6,9,-0.494444444444444
40,GOBP,29,18,2.1655869324473973
41,ppi,47,50,0.07327703443737654
42,reactome_copathway,16,27,0.35025062656641626
43,MP,15,18,2.8592261904761904
44,HP,47,47,0.9255319148936172
45,GI_net,22,26,0.06628787878787845
46,gene_gene_on_CbG_name_mapped,11,8,0.28528708133971303
47,gene_gene_on_GcG_name_mapped,29,25,0.004035759897828672
48,GOMF,6,6,
