,Layer,Laryngeal_edema nodes,Sinusitis nodes,sAB
0,coex_KDN,42,39,0.07678571428571446
1,coex_BST,23,21,0.47098056981777914
2,coex_OVR,32,26,0.08994517543859626
3,coex_LNG,33,41,0.15037654062044314
4,coex_ITI,36,34,-0.05147058823529416
5,coex_VGN,33,27,0.005768243056378575
6,coex_HRV,22,21,0.14491341991342033
7,coex_MSG,36,35,0.012989045383411613
8,coex_ADV,27,23,0.15626262626262655
9,coex_EMS,32,19,0.1466213921901529
10,coex_SMU,29,26,-0.0744572158365262
11,coex_ARG,26,19,0.13473684210526304
12,coex_TST,31,36,0.30322179425453366
13,coex_PIT,33,31,0.16643756109481922
14,coex_LVR,34,26,0.026171485543369677
15,coex_THY,30,33,0.051154401154401175
16,coex_PNC,28,25,0.12172506738544486
17,coex_ATC,31,33,0.008874022482893373
18,coex_BRO,32,32,0.265625
19,coex_SKN,34,27,0.05909485994231778
20,coex_ADS,31,30,-0.002743789395625029
21,coex_GEJ,31,29,0.2272167487684733
22,coex_BRB,25,28,0.34654139433551223
23,coex_UTR,19,18,0.38888888888888884
24,coex_STM,38,33,0.27618662533414207
25,coex_HRA,31,19,0.06689342403628151
26,coex_PRS,28,26,0.19541107041107075
27,coex_ATA,31,25,-0.034139784946236595
28,coex_FIB,27,19,0.08771929824561386
29,coex_BRC,29,22,-0.11051948051948024
30,coex_ATT,32,29,-0.20424545791620297
31,coex_TNV,22,19,0.33333333333333304
32,coex_SPL,40,32,-0.02083333333333326
33,coex_LCL,18,23,-0.27994227994228016
34,coex_CLS,34,28,0.2077380952380956
35,coex_EMC,34,33,0.027210205656210906
36,coex_CLT,37,31,0.027042208313272198
37,coex_core,41,35,0.025476190476190652
38,coex_WBL,33,35,-0.20984211866564806
39,co-essential,4,5,-0.6857142857142859
40,GOBP,21,18,0.7269570707070709
41,ppi,50,48,0.08411564625850332
42,reactome_copathway,18,18,0.6651785714285716
43,MP,16,13,0.32882957559681714
44,HP,31,44,0.04938416422287406
45,GI_net,14,23,-0.05667701863354058
46,gene_gene_on_CbG_name_mapped,8,8,0.25
47,gene_gene_on_GcG_name_mapped,30,24,-0.400462962962963
48,GOMF,7,4,
