,Layer,Infection_of_bone nodes,Epididymitis nodes,sAB
0,coex_KDN,36,38,-0.6996791311859805
1,coex_BST,19,18,-0.963235294117647
2,coex_OVR,23,26,-1.1117424242424239
3,coex_LNG,31,34,-1.1725317693059625
4,coex_ITI,34,35,-0.7487522281639929
5,coex_VGN,27,30,-0.9005418719211823
6,coex_HRV,22,21,-1.3456604371238514
7,coex_MSG,31,35,-0.8205557882977239
8,coex_ADV,25,28,-1.1779059449866904
9,coex_EMS,25,26,-1.1998330241187385
10,coex_SMU,18,22,-1.2714646464646462
11,coex_ARG,19,20,-1.0956140350877193
12,coex_TST,25,28,-0.8208894878706199
13,coex_PIT,24,31,-0.9203323558162266
14,coex_LVR,29,32,-0.8843344456803857
15,coex_THY,24,28,-1.2804487179487176
16,coex_PNC,23,23,-0.9130434782608698
17,coex_ATC,27,33,-0.8944444444444444
18,coex_BRO,23,27,-0.55768115942029
19,coex_SKN,22,27,-1.1021270396270395
20,coex_ADS,25,28,-0.7759544159544163
21,coex_GEJ,27,29,-1.4131089217296111
22,coex_BRB,20,25,-0.7594444444444446
23,coex_UTR,13,17,-1.4077380952380956
24,coex_STM,29,31,-1.0988830742794657
25,coex_HRA,21,20,-0.9722222222222221
26,coex_PRS,22,27,-0.9001831501831501
27,coex_ATA,20,22,-1.125
28,coex_FIB,12,15,-0.9231481481481483
29,coex_BRC,19,19,-0.8421052631578949
30,coex_ATT,17,25,-0.8191036414565827
31,coex_TNV,16,22,-1.3647420147420146
32,coex_SPL,33,33,-0.7992715617715618
33,coex_LCL,17,20,-1.1944444444444444
34,coex_CLS,29,31,-0.8976607045223779
35,coex_EMC,29,31,-0.8834713467638939
36,coex_CLT,30,35,-0.8571026111594062
37,coex_core,33,37,-0.7529655755462207
38,coex_WBL,32,33,-0.6176864801864801
39,co-essential,8,8,-1.4375
40,GOBP,17,10,-0.6117647058823525
41,ppi,50,50,-0.6599999999999999
42,reactome_copathway,24,25,-0.9393115942028986
43,MP,11,11,-1.0487012987012987
44,HP,36,39,-0.615940170940171
45,GI_net,23,24,-1.233695652173913
46,gene_gene_on_CbG_name_mapped,18,14,-0.7609126984126986
47,gene_gene_on_GcG_name_mapped,30,28,-0.8934729064039408
48,GOMF,6,2,
