,Layer,Exanthem nodes,Keratitis nodes,sAB
0,coex_KDN,41,34,-0.2802181338766703
1,coex_BST,26,25,-0.2844897959183674
2,coex_OVR,36,38,-0.5007309941520468
3,coex_LNG,38,31,-0.41155830753354006
4,coex_ITI,41,29,-0.3442786446498005
5,coex_VGN,34,38,-0.43844270564208565
6,coex_HRV,26,17,-0.7266666666666668
7,coex_MSG,39,41,-0.2497498436522827
8,coex_ADV,31,29,-0.35636288998357935
9,coex_EMS,29,32,-0.3651339033352179
10,coex_SMU,26,26,-0.3846153846153846
11,coex_ARG,28,26,-0.5192307692307694
12,coex_TST,31,34,-0.21052401109327112
13,coex_PIT,30,33,-0.2323953823953826
14,coex_LVR,33,32,-0.328125
15,coex_THY,34,24,-0.3690415821501014
16,coex_PNC,28,31,-0.5100855268296496
17,coex_ATC,37,27,-0.3573656073656075
18,coex_BRO,31,33,-0.4907834101382489
19,coex_SKN,32,39,-0.28773361321776814
20,coex_ADS,36,28,-0.08687423687423745
21,coex_GEJ,36,36,-0.45351553767046715
22,coex_BRB,26,22,-0.4262820512820513
23,coex_UTR,21,26,-0.7118614718614715
24,coex_STM,38,28,-0.40285372522214624
25,coex_HRA,25,25,-0.42982993197278896
26,coex_PRS,26,30,-0.5844586448034723
27,coex_ATA,31,25,-0.576820276497696
28,coex_FIB,21,21,-0.4135307781649249
29,coex_BRC,24,30,-0.47777777777777786
30,coex_ATT,31,26,-0.4172217143354664
31,coex_TNV,20,18,-0.3012321144674086
32,coex_SPL,39,30,-0.26460423634336694
33,coex_LCL,22,20,-0.15824175824175835
34,coex_CLS,37,29,-0.46814028882994374
35,coex_EMC,35,35,-0.5494652406417113
36,coex_CLT,37,31,-0.41753731343283573
37,coex_core,45,41,-0.28080777229954745
38,coex_WBL,37,28,-0.2924933174933173
39,co-essential,6,9,-0.6277777777777773
40,GOBP,19,18,-0.30606060606060614
41,ppi,50,50,-0.17000000000000015
42,reactome_copathway,19,27,-0.2954916360669113
43,MP,11,18,1.0158880471380471
44,HP,49,47,0.009457772470690351
45,GI_net,19,26,-0.44975490196078427
46,gene_gene_on_CbG_name_mapped,13,8,-0.3695054945054945
47,gene_gene_on_GcG_name_mapped,25,25,-0.17999999999999994
48,GOMF,8,6,-0.825
