,Layer,Epilepsy nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,21,37,-0.34445036169174115
1,coex_BST,15,24,-0.12532051282051282
2,coex_OVR,7,21,0.49973544973545003
3,coex_LNG,13,25,-0.15346846846846862
4,coex_ITI,16,35,-0.045714285714285596
5,coex_VGN,18,33,-0.1253713606654785
6,coex_HRV,7,16,-0.5384316770186333
7,coex_MSG,16,32,-0.1875
8,coex_ADV,11,20,0.08936950146627565
9,coex_EMS,12,25,-0.31819819819819806
10,coex_SMU,12,20,-0.2437499999999999
11,coex_ARG,21,25,-0.2687784679089027
12,coex_TST,21,32,-0.11997416891284796
13,coex_PIT,27,35,-0.22852022529441873
14,coex_LVR,14,24,-0.13424185463659155
15,coex_THY,13,27,0.21794871794871762
16,coex_PNC,19,23,-0.35567178816606715
17,coex_ATC,14,29,0.2074120746935506
18,coex_BRO,30,41,-0.21000801557311344
19,coex_SKN,14,31,-0.10757575757575744
20,coex_ADS,9,24,-0.39958592132505144
21,coex_GEJ,14,26,0.43322649572649574
22,coex_BRB,25,34,-0.004496510468594339
23,coex_UTR,15,17,-0.30672268907563005
24,coex_STM,17,29,0.14295793279830682
25,coex_HRA,14,22,-0.16305916305916313
26,coex_PRS,14,24,-0.28837491337491317
27,coex_ATA,12,27,0.21144396144396138
28,coex_FIB,11,17,-0.4365530303030305
29,coex_BRC,29,37,-0.3237734487734487
30,coex_ATT,12,26,0.05373873873873869
31,coex_TNV,10,23,-0.31818181818181834
32,coex_SPL,13,24,-0.2525554400554402
33,coex_LCL,9,9,-0.2410714285714286
34,coex_CLS,15,35,-0.0803571428571428
35,coex_EMC,13,26,0.08333333333333326
36,coex_CLT,14,37,-0.05129078658490416
37,coex_core,13,32,0.1307805098127679
38,coex_WBL,14,15,0.11724137931034484
39,co-essential,6,9,-0.17261904761904745
40,GOBP,19,23,-0.4335858585858592
41,ppi,49,49,-0.16326530612244916
42,reactome_copathway,17,17,-0.2941176470588234
43,MP,14,10,-0.041806020066889715
44,HP,43,35,-0.0742567510009371
45,GI_net,18,12,-0.3537037037037034
46,gene_gene_on_CbG_name_mapped,16,18,-0.20608660130718948
47,gene_gene_on_GcG_name_mapped,31,29,-0.20561735261401548
48,GOMF,2,3,
