,Layer,Peptic_ulcer nodes,Gastroesophageal_reflux_disease nodes,sAB
0,coex_KDN,42,42,-0.23809523809523836
1,coex_BST,26,15,0.02532051282051251
2,coex_OVR,32,23,-0.01767539525691708
3,coex_LNG,36,29,0.16319444444444464
4,coex_ITI,40,39,-0.2401452450503081
5,coex_VGN,31,38,-0.040464063384267
6,coex_HRV,21,18,-0.3524972340761816
7,coex_MSG,41,35,-0.17266642215294303
8,coex_ADV,31,21,0.05213872149356025
9,coex_EMS,30,25,0.09575757575757615
10,coex_SMU,26,23,-0.27508361204013365
11,coex_ARG,26,27,-0.17959276018099524
12,coex_TST,35,40,-0.2242857142857142
13,coex_PIT,32,34,-0.2717245989304813
14,coex_LVR,38,28,-0.006180223285486397
15,coex_THY,28,23,-0.32818035426731074
16,coex_PNC,30,28,-0.23079922027290456
17,coex_ATC,34,26,-0.3577220480668757
18,coex_BRO,34,37,-0.1562730916500592
19,coex_SKN,32,27,0.008136612697235535
20,coex_ADS,19,25,-0.23645994832041328
21,coex_GEJ,24,22,0.1333333333333333
22,coex_BRB,24,27,0.08338164251207747
23,coex_UTR,23,19,-0.2325517619635269
24,coex_STM,34,35,-0.142625745950554
25,coex_HRA,24,24,-0.08333333333333348
26,coex_PRS,26,29,0.04954545454545434
27,coex_ATA,27,22,-0.021494708994708844
28,coex_FIB,29,23,-0.19268231768231758
29,coex_BRC,32,34,-0.2166610962566844
30,coex_ATT,32,27,-0.10175438596491215
31,coex_TNV,16,23,0.2752691387559807
32,coex_SPL,31,28,-0.061411387955947916
33,coex_LCL,20,11,0.003958944281525323
34,coex_CLS,32,29,-0.17378285754663647
35,coex_EMC,35,34,-0.27328583607355994
36,coex_CLT,34,39,-0.05069930069930084
37,coex_core,36,36,0.01529733959311419
38,coex_WBL,35,25,-0.1752380952380952
39,co-essential,7,5,-0.4095238095238094
40,GOBP,10,13,0.6444444444444448
41,ppi,50,50,-0.05999999999999983
42,reactome_copathway,28,22,0.6696428571428572
43,MP,9,12,-0.024101307189542176
44,HP,35,46,0.34335940495360795
45,GI_net,24,20,-0.3602272727272726
46,gene_gene_on_CbG_name_mapped,18,10,-0.40396825396825387
47,gene_gene_on_GcG_name_mapped,34,33,-0.19311863144172192
48,GOMF,5,3,
