,Layer,Urinary_bladder_inflammation nodes,Sepsis nodes,sAB
0,coex_KDN,35,39,-0.43373923373923384
1,coex_BST,18,22,-0.49730861244019153
2,coex_OVR,25,30,-0.5566666666666664
3,coex_LNG,27,34,-0.5954545454545455
4,coex_ITI,33,34,-0.40909090909090895
5,coex_VGN,26,26,-0.05769230769230771
6,coex_HRV,17,24,-0.5895833333333331
7,coex_MSG,27,36,-0.22089947089947093
8,coex_ADV,21,32,-0.8171327493261458
9,coex_EMS,21,28,-0.5569727891156466
10,coex_SMU,19,29,-0.32475045372050815
11,coex_ARG,24,27,-0.3508986928104574
12,coex_TST,26,32,-0.14738063660477452
13,coex_PIT,30,33,-0.28102453102453095
14,coex_LVR,24,35,-0.31217217911482953
15,coex_THY,22,30,-0.5179175118323189
16,coex_PNC,22,29,-0.4334316798819844
17,coex_ATC,29,31,-0.48583743842364546
18,coex_BRO,31,33,-0.20407196969696972
19,coex_SKN,26,30,-0.4901098901098899
20,coex_ADS,23,26,-0.29137529137529183
21,coex_GEJ,19,27,-0.7734130011017886
22,coex_BRB,22,30,-0.3656177156177156
23,coex_UTR,18,24,-0.733521460423634
24,coex_STM,25,35,-0.24285714285714288
25,coex_HRA,19,28,-0.568888977763558
26,coex_PRS,19,32,-0.4611390608875128
27,coex_ATA,27,31,-0.4535714285714285
28,coex_FIB,16,23,-0.4888517279821627
29,coex_BRC,24,29,-0.5535982008995504
30,coex_ATT,22,29,-0.5408163265306127
31,coex_TNV,17,19,-0.27874331550802145
32,coex_SPL,27,38,-0.6174313990103462
33,coex_LCL,15,22,-0.45952380952380945
34,coex_CLS,24,28,-0.6640795206971679
35,coex_EMC,24,28,-0.3311563755937157
36,coex_CLT,31,31,-0.4210418984056359
37,coex_core,29,36,-0.31618773946360124
38,coex_WBL,24,32,0.018601190476190688
39,co-essential,10,11,-0.44502164502164554
40,GOBP,5,11,0.3012820512820511
41,ppi,50,50,-0.20999999999999996
42,reactome_copathway,26,30,-0.11060507482107984
43,MP,7,8,0.1517857142857144
44,HP,25,28,-0.13138814016172495
45,GI_net,22,24,-0.6159200702678964
46,gene_gene_on_CbG_name_mapped,19,18,-0.056464359095938166
47,gene_gene_on_GcG_name_mapped,31,33,-0.33087426686217025
48,GOMF,3,7,
