,Layer,Temporal_lobe_epilepsy nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,31,37,-0.12473716600851326
1,coex_BST,20,29,-0.21547619047619038
2,coex_OVR,19,26,-0.08520017993702167
3,coex_LNG,21,34,0.12942449707155568
4,coex_ITI,29,35,0.15481837896448902
5,coex_VGN,25,32,-0.041688596491228136
6,coex_HRV,14,13,1.0679690679690679
7,coex_MSG,24,33,-0.054824561403508776
8,coex_ADV,15,30,-0.07777777777777795
9,coex_EMS,22,28,-6.4935064934879e-05
10,coex_SMU,18,29,0.1862721121708648
11,coex_ARG,23,33,0.11060606060606082
12,coex_TST,31,38,-0.03294702394134008
13,coex_PIT,34,36,-0.07196545284780576
14,coex_LVR,21,30,-0.3547619047619046
15,coex_THY,21,30,0.20000000000000018
16,coex_PNC,25,35,-0.0176190476190472
17,coex_ATC,25,30,-0.063425925925926
18,coex_BRO,37,39,-0.13349928876244666
19,coex_SKN,22,30,-0.08999999999999986
20,coex_ADS,21,26,-0.13277777777777766
21,coex_GEJ,22,28,-0.08518518518518547
22,coex_BRB,27,27,-0.16666666666666652
23,coex_UTR,15,25,0.0900000000000003
24,coex_STM,29,33,-0.03353894900057308
25,coex_HRA,19,29,0.02548396854204449
26,coex_PRS,19,26,-0.18796671165092205
27,coex_ATA,24,31,-0.2972222222222225
28,coex_FIB,14,26,-0.08241758241758257
29,coex_BRC,33,38,-0.1259635515797488
30,coex_ATT,22,29,0.19549449873993519
31,coex_TNV,23,18,-0.13693181818181843
32,coex_SPL,18,31,-0.11966937312559445
33,coex_LCL,12,20,-0.32101086048454475
34,coex_CLS,24,34,-0.14211460446247481
35,coex_EMC,19,30,-0.23677049767275316
36,coex_CLT,27,30,-0.0036062378167642795
37,coex_core,29,33,0.08986352630420424
38,coex_WBL,15,24,-0.21820175438596445
39,co-essential,6,8,0.6625000000000001
40,GOBP,18,21,0.021195144724556414
41,ppi,49,48,0.02032488253033171
42,reactome_copathway,21,16,-0.21840659340659307
43,MP,13,11,0.1875
44,HP,24,43,-0.15266689806780054
45,GI_net,17,15,-0.22936827956989259
46,gene_gene_on_CbG_name_mapped,25,14,0.07597069597069606
47,gene_gene_on_GcG_name_mapped,31,35,-0.20313092979127134
48,GOMF,3,7,
