,Layer,Neoplasm_of_ovary nodes,Germ_cell_tumor_of_testis nodes,sAB
0,coex_KDN,40,39,-0.16858974358974366
1,coex_BST,28,28,-0.1256012506012507
2,coex_OVR,28,31,-0.17810278840896654
3,coex_LNG,37,36,0.0694444444444442
4,coex_ITI,40,35,0.03624393624393618
5,coex_VGN,36,36,0.0972222222222221
6,coex_HRV,12,21,-0.10119047619047628
7,coex_MSG,42,35,0.004112554112554179
8,coex_ADV,27,25,0.1563180827886712
9,coex_EMS,23,29,0.15528774074501195
10,coex_SMU,19,26,-0.16581196581196544
11,coex_ARG,20,29,0.04824067558057732
12,coex_TST,36,42,-0.048687423687423736
13,coex_PIT,31,31,-0.032258064516129004
14,coex_LVR,27,30,-0.07124756335282667
15,coex_THY,25,29,-0.2524393358876118
16,coex_PNC,24,30,-0.13148148148148175
17,coex_ATC,22,33,0.012820512820513219
18,coex_BRO,27,31,0.04321674288303878
19,coex_SKN,35,35,0.014285714285714235
20,coex_ADS,23,29,-0.23645110218000243
21,coex_GEJ,25,30,0.16936402081977864
22,coex_BRB,20,17,0.08664546899841019
23,coex_UTR,23,26,0.1786992077689753
24,coex_STM,37,35,-0.03188545688545674
25,coex_HRA,23,29,-0.04754293021556455
26,coex_PRS,33,33,-0.01512237762237767
27,coex_ATA,23,24,-0.062143170838822925
28,coex_FIB,27,27,-0.07569800569800567
29,coex_BRC,28,35,0.12142857142857144
30,coex_ATT,19,28,0.22170452727563594
31,coex_TNV,19,19,0.5082706766917293
32,coex_SPL,33,30,0.0037634408602151836
33,coex_LCL,23,26,-0.03763175230566529
34,coex_CLS,29,31,0.0667408231368185
35,coex_EMC,32,32,-0.055377445795875335
36,coex_CLT,34,30,0.08152958152958156
37,coex_core,38,36,0.314944896487795
38,coex_WBL,26,27,-0.21444444444444444
39,co-essential,22,15,-0.538095238095238
40,GOBP,15,10,0.40000000000000036
41,ppi,50,50,0.040000000000000036
42,reactome_copathway,27,26,0.13628959276018104
43,MP,12,15,0.027777777777778123
44,HP,26,30,-0.06082621082621076
45,GI_net,27,21,-0.19154165607254847
46,gene_gene_on_CbG_name_mapped,11,15,0.13240093240093254
47,gene_gene_on_GcG_name_mapped,31,39,-0.12626728110599084
48,GOMF,3,6,
