,Layer,Osteosarcoma nodes,Sarcoma nodes,sAB
0,coex_KDN,42,37,-0.7518315018315016
1,coex_BST,35,34,-0.7095177201315308
2,coex_OVR,32,35,-0.701912313432836
3,coex_LNG,37,34,-0.6261839718757698
4,coex_ITI,40,33,-0.5868202573682026
5,coex_VGN,37,35,-0.6091913341913342
6,coex_HRV,16,22,-1.0752093301435408
7,coex_MSG,38,39,-0.5837013863329652
8,coex_ADV,23,26,-0.7095761381475665
9,coex_EMS,35,33,-0.6618920295390884
10,coex_SMU,31,28,-0.6624814496602358
11,coex_ARG,34,30,-0.8332720588235292
12,coex_TST,41,38,-0.5042816983799419
13,coex_PIT,37,37,-0.3829343041671809
14,coex_LVR,38,31,-0.6529059324327651
15,coex_THY,34,26,-0.9390648567119153
16,coex_PNC,34,30,-0.7832107843137255
17,coex_ATC,36,36,-0.7125541125541124
18,coex_BRO,34,35,-0.5335403726708077
19,coex_SKN,37,32,-0.7536231884057971
20,coex_ADS,31,27,-1.3856754418489678
21,coex_GEJ,35,32,-0.7081700626959249
22,coex_BRB,24,21,-0.7774853801169594
23,coex_UTR,31,32,-0.8225806451612903
24,coex_STM,40,34,-0.6093203497615263
25,coex_HRA,32,31,-0.7579637096774192
26,coex_PRS,38,33,-0.6627468158231684
27,coex_ATA,30,28,-0.7378489326765187
28,coex_FIB,37,32,-0.7068627450980391
29,coex_BRC,36,37,-0.6451365749310953
30,coex_ATT,36,28,-0.8065476190476191
31,coex_TNV,21,19,-1.5205882352941176
32,coex_SPL,33,32,-0.7239801864801867
33,coex_LCL,31,29,-0.8448275862068968
34,coex_CLS,36,35,-0.5346076458752516
35,coex_EMC,33,32,-0.5301502932551321
36,coex_CLT,38,33,-0.44154674154674134
37,coex_core,40,37,-0.6445906432748538
38,coex_WBL,36,31,-0.294261220777831
39,co-essential,16,21,-1.0164003759398499
40,GOBP,9,9,-0.770833333333333
41,ppi,50,50,-0.22999999999999998
42,reactome_copathway,29,28,-0.37906520453690273
43,MP,10,7,0.7668650793650795
44,HP,28,38,-0.36500341763499655
45,GI_net,28,31,-0.3595238095238096
46,gene_gene_on_CbG_name_mapped,17,17,-0.17647058823529416
47,gene_gene_on_GcG_name_mapped,30,34,-0.5606004901960784
48,GOMF,5,3,
