,Layer,Cataplexy_and_narcolepsy nodes,Chronic_pain nodes,sAB
0,coex_KDN,32,27,-0.022814657878217126
1,coex_BST,18,23,0.08592553316837526
2,coex_OVR,17,21,0.003700128700128591
3,coex_LNG,20,28,-0.24456264775413716
4,coex_ITI,27,27,0.12962962962962976
5,coex_VGN,25,26,0.01811463046757167
6,coex_HRV,13,16,-0.3060439560439563
7,coex_MSG,21,28,-0.09693877551020402
8,coex_ADV,15,25,-0.11672730422730426
9,coex_EMS,20,25,-0.10290697674418592
10,coex_SMU,18,22,-0.12601010101010113
11,coex_ARG,17,25,0.35515243902439053
12,coex_TST,25,31,-0.054723502304147686
13,coex_PIT,22,30,0.15252100840336147
14,coex_LVR,20,26,-0.116555183946488
15,coex_THY,19,24,-0.01897184822521414
16,coex_PNC,18,27,-0.37257187257187274
17,coex_ATC,21,25,-0.06833333333333291
18,coex_BRO,29,31,0.09288097886540614
19,coex_SKN,20,26,-0.008502024291497712
20,coex_ADS,18,17,-0.373015873015873
21,coex_GEJ,20,24,0.04960317460317443
22,coex_BRB,23,23,0.28260869565217384
23,coex_UTR,14,20,-0.0119747899159659
24,coex_STM,26,26,0.1546153846153846
25,coex_HRA,19,21,0.038461538461538325
26,coex_PRS,20,26,-0.022537112010796445
27,coex_ATA,18,22,0.1499999999999999
28,coex_FIB,14,20,-0.010084033613445786
29,coex_BRC,23,27,0.04627911770768911
30,coex_ATT,20,23,0.21831753296284173
31,coex_TNV,16,10,-0.25
32,coex_SPL,22,21,-0.09106010268800935
33,coex_LCL,12,16,-0.5997023809523814
34,coex_CLS,27,24,0.07019230769230766
35,coex_EMC,18,23,0.06825144338399891
36,coex_CLT,24,26,0.07943143812709019
37,coex_core,28,27,0.1314035370639146
38,coex_WBL,25,25,-0.2799999999999998
39,co-essential,6,4,-0.875
40,GOBP,25,18,0.3765939942410532
41,ppi,49,48,-0.01156287257170896
42,reactome_copathway,20,22,0.5902777777777779
43,MP,14,19,0.9472096530920062
44,HP,28,26,0.2777777777777777
45,GI_net,12,14,-0.18220779220779226
46,gene_gene_on_CbG_name_mapped,8,23,0.3877103786816267
47,gene_gene_on_GcG_name_mapped,26,26,-0.2692307692307694
48,GOMF,13,5,
