,Layer,Infection_of_bone nodes,Cholangitis nodes,sAB
0,coex_KDN,36,38,-0.6143403677650254
1,coex_BST,19,20,-0.6065078236130867
2,coex_OVR,23,25,-0.6964410058027075
3,coex_LNG,31,29,-0.9994441749535128
4,coex_ITI,34,36,-0.520860781730347
5,coex_VGN,27,27,-0.4295441595441596
6,coex_HRV,22,22,-0.5811688311688312
7,coex_MSG,31,32,-0.6971566180235536
8,coex_ADV,25,25,-0.8348751156336722
9,coex_EMS,25,22,-1.2816017316017316
10,coex_SMU,18,26,-0.7148578811369508
11,coex_ARG,19,21,-0.6401098901098898
12,coex_TST,25,31,-0.6888248847926267
13,coex_PIT,24,29,-0.5108932461873636
14,coex_LVR,29,30,-0.7468731735827003
15,coex_THY,24,26,-0.9392948717948717
16,coex_PNC,23,26,-0.44730735103405905
17,coex_ATC,27,25,-0.7544934640522876
18,coex_BRO,23,26,-0.5476759265579141
19,coex_SKN,22,26,-0.28495164410058016
20,coex_ADS,25,27,-0.5692760180995475
21,coex_GEJ,27,28,-1.2129629629629628
22,coex_BRB,20,22,-0.516125541125541
23,coex_UTR,13,17,-0.5870520622041924
24,coex_STM,29,31,-0.4105287823166446
25,coex_HRA,21,23,-0.2395722870272181
26,coex_PRS,22,25,-0.6372847011144886
27,coex_ATA,20,21,-0.8493031358885019
28,coex_FIB,12,18,-0.37128127112914133
29,coex_BRC,19,28,-0.6361979828799051
30,coex_ATT,17,22,-0.41907790143084256
31,coex_TNV,16,17,-1.0522058823529412
32,coex_SPL,33,33,-0.8740967365967365
33,coex_LCL,17,14,-0.3738095238095238
34,coex_CLS,29,31,-0.6357142857142859
35,coex_EMC,29,24,-0.6832788671023968
36,coex_CLT,30,30,-0.5420319501266315
37,coex_core,33,35,-0.30832725149613194
38,coex_WBL,32,26,-0.5466228070175438
39,co-essential,8,9,-0.9571078431372553
40,GOBP,17,21,0.5516855865153074
41,ppi,50,48,-0.4196003401360544
42,reactome_copathway,24,23,-0.18020957808622096
43,MP,11,11,-1.9725108225108223
44,HP,36,33,-0.39531181379007463
45,GI_net,23,22,-1.0666666666666667
46,gene_gene_on_CbG_name_mapped,18,14,-0.5689484126984126
47,gene_gene_on_GcG_name_mapped,30,28,-0.7068965517241379
48,GOMF,6,4,
