,Layer,Pulmonary_hypertension nodes,Hypoglycemia nodes,sAB
0,coex_KDN,40,32,0.039583333333333304
1,coex_BST,20,23,0.25216450216450204
2,coex_OVR,29,18,-0.11323749889761014
3,coex_LNG,38,26,-0.010058198380566985
4,coex_ITI,39,34,0.09470236988367509
5,coex_VGN,30,19,0.0635696383816684
6,coex_HRV,20,21,0.5416329284750336
7,coex_MSG,34,25,0.004037886340976904
8,coex_ADV,24,21,0.2670454545454546
9,coex_EMS,21,20,-0.02479674796747977
10,coex_SMU,25,21,-0.08687370600414113
11,coex_ARG,25,27,0.07576168929110105
12,coex_TST,35,30,0.16556776556776565
13,coex_PIT,33,30,0.00021645021645011475
14,coex_LVR,31,29,0.46822395253985927
15,coex_THY,26,22,-0.001602564102564319
16,coex_PNC,29,24,0.1603231403166343
17,coex_ATC,26,29,-0.0025319508078132102
18,coex_BRO,31,26,-0.012188940092165979
19,coex_SKN,28,22,0.13612313612313587
20,coex_ADS,21,25,0.33209109730848896
21,coex_GEJ,22,19,-0.21550671550671563
22,coex_BRB,23,19,-0.06445461479786418
23,coex_UTR,20,14,-0.39423076923076916
24,coex_STM,32,33,-0.10791083916083921
25,coex_HRA,22,22,0.1818181818181821
26,coex_PRS,31,20,0.10166666666666702
27,coex_ATA,26,22,-0.36706024471981946
28,coex_FIB,22,20,-0.025216450216449804
29,coex_BRC,35,20,0.24253246753246738
30,coex_ATT,28,24,-0.22138278388278376
31,coex_TNV,22,23,-0.11977750931239273
32,coex_SPL,28,26,-0.197039072039072
33,coex_LCL,13,12,-0.3221794871794872
34,coex_CLS,33,31,0.03337041156840925
35,coex_EMC,28,23,-0.032532467532467635
36,coex_CLT,34,31,0.006546489563567404
37,coex_core,36,30,0.17476561258541246
38,coex_WBL,22,23,0.2619496277231361
39,co-essential,8,11,0.7835497835497836
40,GOBP,19,19,-0.027966976264190535
41,ppi,49,49,0.33673469387755084
42,reactome_copathway,18,22,0.6447368421052628
43,MP,14,10,0.2761904761904761
44,HP,36,44,0.6888888888888887
45,GI_net,17,14,0.005254515599343534
46,gene_gene_on_CbG_name_mapped,18,18,0.08333333333333326
47,gene_gene_on_GcG_name_mapped,24,28,0.1964285714285714
48,GOMF,5,3,
