,Layer,Emphysema nodes,Pneumonia nodes,sAB
0,coex_KDN,37,26,-0.04670329670329654
1,coex_BST,22,11,0.012400793650793496
2,coex_OVR,29,15,-0.1177115987460815
3,coex_LNG,36,22,0.04834054834054813
4,coex_ITI,35,24,0.07348668280871662
5,coex_VGN,34,11,0.15151515151515138
6,coex_HRV,32,14,0.3807241145950824
7,coex_MSG,38,18,-0.14024644945697595
8,coex_ADV,22,18,-0.48216374269005824
9,coex_EMS,28,13,-0.35238095238095246
10,coex_SMU,26,10,0.10428571428571431
11,coex_ARG,25,9,0.2951633986928104
12,coex_TST,33,17,-0.16110516934046348
13,coex_PIT,31,18,3.657376929266931e-05
14,coex_LVR,37,16,-0.021100427350427386
15,coex_THY,27,20,0.052245862884160665
16,coex_PNC,31,13,-0.0796864425896684
17,coex_ATC,33,14,0.22024960854748077
18,coex_BRO,29,19,-0.12292044767090116
19,coex_SKN,35,12,-0.05871696504688839
20,coex_ADS,29,11,-0.04764890282131651
21,coex_GEJ,29,14,-0.04761904761904745
22,coex_BRB,23,16,-0.0634754738015606
23,coex_UTR,20,8,-0.18884015594541914
24,coex_STM,36,16,0.24278846153846168
25,coex_HRA,30,11,0.05421286031042172
26,coex_PRS,29,16,-0.29499810534293314
27,coex_ATA,24,12,0.29166666666666696
28,coex_FIB,25,12,0.3541666666666665
29,coex_BRC,32,12,-0.2131782945736438
30,coex_ATT,32,10,0.19166666666666643
31,coex_TNV,23,13,-0.3982017982017987
32,coex_SPL,32,22,0.0848557692307692
33,coex_LCL,21,10,-0.06746031746031766
34,coex_CLS,34,13,-0.0733707264957264
35,coex_EMC,33,16,-0.24104609929078014
36,coex_CLT,32,21,0.07534804753820024
37,coex_core,38,21,-0.08948892501524086
38,coex_WBL,29,24,0.0980392156862746
39,co-essential,7,5,-0.15746753246753276
40,GOBP,12,15,1.6464646464646462
41,ppi,49,50,0.16127808699237267
42,reactome_copathway,28,23,0.08792747006632795
43,MP,16,13,1.07962962962963
44,HP,35,22,0.2614604693552063
45,GI_net,19,21,-0.26008771929824537
46,gene_gene_on_CbG_name_mapped,16,10,-0.12451923076923088
47,gene_gene_on_GcG_name_mapped,35,31,-0.07606479541963407
48,GOMF,5,4,
