,Layer,Ewing_sarcoma nodes,Sarcoma nodes,sAB
0,coex_KDN,42,37,-0.6465201465201462
1,coex_BST,34,34,-0.8088235294117647
2,coex_OVR,34,35,-0.5931798806479114
3,coex_LNG,33,34,-0.7303123420331497
4,coex_ITI,40,33,-0.6952106683271067
5,coex_VGN,39,35,-0.7565983565983565
6,coex_HRV,16,22,-1.0730548730548732
7,coex_MSG,37,39,-0.5236988000145895
8,coex_ADV,27,26,-0.733456969306026
9,coex_EMS,30,33,-0.6979797979797981
10,coex_SMU,33,28,-0.5252479887526362
11,coex_ARG,29,30,-0.8459359605911327
12,coex_TST,38,38,-0.5789473684210527
13,coex_PIT,35,37,-0.5176767676767677
14,coex_LVR,33,31,-0.7513593597262953
15,coex_THY,35,26,-0.8245541343902001
16,coex_PNC,33,30,-0.8626262626262624
17,coex_ATC,38,36,-0.7918050366680502
18,coex_BRO,32,35,-0.6355743603411517
19,coex_SKN,33,32,-0.6326340326340327
20,coex_ADS,29,27,-1.3376471536848897
21,coex_GEJ,30,32,-0.8460841613091761
22,coex_BRB,21,21,-0.6129554655870446
23,coex_UTR,28,32,-0.8982172147153011
24,coex_STM,36,34,-0.6032446311858077
25,coex_HRA,35,31,-0.6467032967032966
26,coex_PRS,31,33,-0.5334952346041055
27,coex_ATA,33,28,-0.8069940476190478
28,coex_FIB,31,32,-0.6806764650461654
29,coex_BRC,37,37,-0.6621621621621623
30,coex_ATT,34,28,-0.894047619047619
31,coex_TNV,22,19,-1.828921568627451
32,coex_SPL,33,32,-0.6927447552447554
33,coex_LCL,27,29,-0.8930069930069928
34,coex_CLS,34,35,-0.5952502740226526
35,coex_EMC,32,32,-0.6517457117255505
36,coex_CLT,34,33,-0.5069305877031951
37,coex_core,38,37,-0.474178125493915
38,coex_WBL,35,31,-0.5340455243681048
39,co-essential,13,21,-0.9043062200956937
40,GOBP,7,9,0.6190476190476186
41,ppi,50,50,-0.41999999999999993
42,reactome_copathway,18,28,-0.6947089947089948
43,MP,5,7,0.8904761904761909
44,HP,37,38,-0.414452347083926
45,GI_net,32,31,-0.4666666666666668
46,gene_gene_on_CbG_name_mapped,8,17,-0.36205882352941177
47,gene_gene_on_GcG_name_mapped,29,34,-0.7156138317395924
48,GOMF,2,3,
