,Layer,Neoplasm_of_the_pancreas nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,41,45,-0.549561983991933
1,coex_BST,27,42,-0.7730015082956259
2,coex_OVR,26,38,-0.21849696356275317
3,coex_LNG,37,42,-0.4186507936507935
4,coex_ITI,41,44,-0.620887445887446
5,coex_VGN,31,42,-0.6169749384508554
6,coex_HRV,22,17,-0.5157747309450098
7,coex_MSG,38,45,-0.3813253012048192
8,coex_ADV,27,38,-0.6597292510121457
9,coex_EMS,31,41,-0.5331787472804306
10,coex_SMU,25,38,-0.5736173767752715
11,coex_ARG,19,38,-0.6008771929824563
12,coex_TST,35,43,-0.36452849476105276
13,coex_PIT,32,41,-0.19899035248914143
14,coex_LVR,28,39,-0.4308061341643432
15,coex_THY,28,36,-0.9905753968253972
16,coex_PNC,29,39,-0.7559161595672754
17,coex_ATC,32,42,-0.45650132567388413
18,coex_BRO,26,39,-0.28846153846153855
19,coex_SKN,30,45,-0.45444444444444443
20,coex_ADS,27,32,-0.568122555410691
21,coex_GEJ,28,37,-0.6064498564498564
22,coex_BRB,21,24,-0.2787031808770939
23,coex_UTR,25,38,-0.8688220551378447
24,coex_STM,36,43,-0.45893844241651127
25,coex_HRA,25,38,-0.6259147869674182
26,coex_PRS,30,44,-0.5165006226650062
27,coex_ATA,23,37,-0.47879273726731375
28,coex_FIB,26,41,-0.37865783652095986
29,coex_BRC,24,39,-0.5682234432234432
30,coex_ATT,25,37,-0.35102828238074135
31,coex_TNV,25,17,-0.6435019129603061
32,coex_SPL,30,41,-0.5557611438183347
33,coex_LCL,20,35,-0.5331825037707392
34,coex_CLS,35,43,-0.6655762841809354
35,coex_EMC,29,42,-0.4547619047619047
36,coex_CLT,38,44,-0.44380744380744397
37,coex_core,39,44,-0.36731240518146824
38,coex_WBL,30,41,-0.4461612399375223
39,co-essential,15,22,-0.9420329670329672
40,GOBP,10,14,0.26923076923076916
41,ppi,50,48,-0.27248299319727876
42,reactome_copathway,27,37,-0.47917050691244234
43,MP,8,15,-0.841720779220779
44,HP,28,42,-0.4035714285714286
45,GI_net,31,37,-0.3903533514539207
46,gene_gene_on_CbG_name_mapped,15,14,-0.069376026272578
47,gene_gene_on_GcG_name_mapped,34,35,-0.4208561685543786
48,GOMF,2,5,
