,Layer,Gingivostomatitis nodes,Pneumonia nodes,sAB
0,coex_KDN,33,26,-0.4382580696140017
1,coex_BST,11,11,-0.5725146198830409
2,coex_OVR,16,15,-0.9328629032258067
3,coex_LNG,36,22,-0.35226153157187645
4,coex_ITI,27,24,-0.30882352941176494
5,coex_VGN,17,11,-0.19117647058823528
6,coex_HRV,21,14,0.09987071751777643
7,coex_MSG,34,18,-0.3746857717445955
8,coex_ADV,27,18,-0.5289432789432789
9,coex_EMS,16,13,-1.1309523809523812
10,coex_SMU,13,10,-0.7757575757575759
11,coex_ARG,12,9,-0.43253968253968256
12,coex_TST,19,17,-0.26943584451324387
13,coex_PIT,21,18,-0.573830409356725
14,coex_LVR,36,16,-0.22302350427350426
15,coex_THY,17,20,-0.8317965023847376
16,coex_PNC,19,13,-0.2501265182186234
17,coex_ATC,27,14,-0.1491758241758243
18,coex_BRO,23,19,-0.07840252805927861
19,coex_SKN,18,12,-0.37103174603174605
20,coex_ADS,20,11,-0.6005131964809385
21,coex_GEJ,32,14,-0.42216614906832306
22,coex_BRB,21,16,-0.38749999999999996
23,coex_UTR,10,8,-0.9805555555555554
24,coex_STM,32,16,-0.47916666666666674
25,coex_HRA,20,11,-0.2642807384186694
26,coex_PRS,17,16,-0.7077069041015911
27,coex_ATA,27,12,-0.21331908831908852
28,coex_FIB,13,12,-0.2301282051282052
29,coex_BRC,17,12,-0.6139283299526708
30,coex_ATT,19,10,-0.5529411764705883
31,coex_TNV,12,13,-0.8384615384615381
32,coex_SPL,34,22,-0.17385620915032685
33,coex_LCL,14,10,0.20238095238095255
34,coex_CLS,24,13,-0.5962030297068661
35,coex_EMC,29,16,-0.03145245559038701
36,coex_CLT,24,21,-0.5736842105263156
37,coex_core,36,21,-0.08824839877471446
38,coex_WBL,35,24,-0.2626566416040099
39,co-essential,5,5,-0.24722222222222223
40,GOBP,12,15,0.06565656565656575
41,ppi,50,50,-0.09000000000000008
42,reactome_copathway,28,23,-0.15369946605644547
43,MP,11,13,-0.08992094861660105
44,HP,23,22,-0.22237593324549842
45,GI_net,24,21,-0.7801061678463093
46,gene_gene_on_CbG_name_mapped,22,10,-0.23181818181818192
47,gene_gene_on_GcG_name_mapped,27,31,-0.4589461541630617
48,GOMF,4,4,
