,Layer,Abetalipoproteinaemia nodes,Trigeminal_neuralgia nodes,sAB
0,coex_KDN,28,39,0.09477338581816186
1,coex_BST,21,25,0.07250517598343675
2,coex_OVR,23,26,0.02332605282915834
3,coex_LNG,26,32,0.1030219780219781
4,coex_ITI,30,36,-0.10277777777777763
5,coex_VGN,23,28,0.05745341614906829
6,coex_HRV,15,21,0.244327731092437
7,coex_MSG,28,35,0.011507936507936689
8,coex_ADV,18,25,-0.015297157622738755
9,coex_EMS,22,24,0.03557312252964451
10,coex_SMU,18,22,-0.020454545454545503
11,coex_ARG,21,25,-0.06107660455486541
12,coex_TST,29,39,0.012929856213438562
13,coex_PIT,29,37,-0.09984605911330036
14,coex_LVR,21,27,0.1869385342789598
15,coex_THY,19,28,0.26000690131124893
16,coex_PNC,21,22,-0.1398620759085878
17,coex_ATC,20,27,0.3172182821118992
18,coex_BRO,32,37,-0.11918576184880525
19,coex_SKN,21,25,-0.004563492063492269
20,coex_ADS,18,26,0.764651162790698
21,coex_GEJ,23,29,0.2954964825279669
22,coex_BRB,26,31,-0.002851421357363826
23,coex_UTR,13,21,-0.07950872656755026
24,coex_STM,27,33,0.30858585858585874
25,coex_HRA,19,26,0.14543409806567675
26,coex_PRS,19,23,0.09868421052631593
27,coex_ATA,16,25,0.35285714285714276
28,coex_FIB,18,26,0.03982128982128996
29,coex_BRC,24,37,0.09730848861283636
30,coex_ATT,17,26,0.07083333333333286
31,coex_TNV,20,19,-0.03200568990042685
32,coex_SPL,22,25,-0.13578336557059956
33,coex_LCL,15,14,0.01098901098901095
34,coex_CLS,24,29,-0.2814600954239863
35,coex_EMC,20,31,-0.05256166982922261
36,coex_CLT,25,30,0.07696969696969713
37,coex_core,25,35,0.14142857142857146
38,coex_WBL,20,30,1.0583333333333331
39,co-essential,5,12,0.20340909090909065
40,GOBP,19,7,0.7646616541353382
41,ppi,49,49,-0.0714285714285714
42,reactome_copathway,13,26,0.3767460161322054
43,MP,10,8,1.7142857142857144
44,HP,31,33,0.31103372434017595
45,GI_net,17,27,0.046107881136950635
46,gene_gene_on_CbG_name_mapped,17,18,-0.26078431372549016
47,gene_gene_on_GcG_name_mapped,35,34,-0.11611253196930948
48,GOMF,5,2,
