,Layer,Angioedema nodes,Keratitis nodes,sAB
0,coex_KDN,37,34,-0.000982800982800791
1,coex_BST,16,25,0.125
2,coex_OVR,21,38,-0.1805467057474195
3,coex_LNG,24,31,0.05052700922266151
4,coex_ITI,30,29,-0.020607553366174258
5,coex_VGN,27,38,0.05519398855561852
6,coex_HRV,15,17,-0.08141321044546879
7,coex_MSG,28,41,0.009045346664646736
8,coex_ADV,24,29,-0.1258116883116882
9,coex_EMS,21,32,-0.05264423076923075
10,coex_SMU,23,26,0.06168520920073717
11,coex_ARG,15,26,-0.05274725274725256
12,coex_TST,23,34,-0.14975097590523623
13,coex_PIT,22,33,-0.046969696969696884
14,coex_LVR,33,32,-0.016484557109557096
15,coex_THY,20,24,0.09952570379436931
16,coex_PNC,18,31,0.06031014556360148
17,coex_ATC,19,27,-0.06569950517318923
18,coex_BRO,24,33,-0.03571428571428559
19,coex_SKN,27,39,0.03357753357753346
20,coex_ADS,24,28,0.32153846153846155
21,coex_GEJ,24,36,0.09424603174603163
22,coex_BRB,15,22,-0.19189189189189193
23,coex_UTR,12,26,-0.26139639639639656
24,coex_STM,26,28,-0.009411884411884452
25,coex_HRA,21,25,-0.007777777777778105
26,coex_PRS,22,30,-0.05946892863728559
27,coex_ATA,19,25,0.11679425837320556
28,coex_FIB,14,21,0.011904761904761862
29,coex_BRC,18,30,-0.16135265700483137
30,coex_ATT,24,26,0.18910256410256387
31,coex_TNV,20,18,0.46363275039745666
32,coex_SPL,30,30,-0.16666666666666674
33,coex_LCL,12,20,0.02228739002932567
34,coex_CLS,24,29,-0.11555760581247831
35,coex_EMC,25,35,0.05691434468524248
36,coex_CLT,25,31,0.006913746630727857
37,coex_core,32,41,-0.06561085972850678
38,coex_WBL,29,28,0.29521000777806594
39,co-essential,6,9,-1.4277777777777776
40,GOBP,27,18,0.05219298245614068
41,ppi,50,50,0.08000000000000007
42,reactome_copathway,26,27,0.11705116829340434
43,MP,17,18,0.4117090017825311
44,HP,38,47,-0.031684342269942656
45,GI_net,20,26,-0.12202380952380976
46,gene_gene_on_CbG_name_mapped,13,8,-0.005036630036630019
47,gene_gene_on_GcG_name_mapped,28,25,-0.14273584905660375
48,GOMF,9,6,-0.5714285714285714
