,Layer,Parkinson_disease nodes,Alzheimer_disease nodes,sAB
0,coex_KDN,40,32,-0.2677083333333332
1,coex_BST,25,19,-0.3793394000674082
2,coex_OVR,32,25,-0.3318894009216593
3,coex_LNG,34,26,-0.07476986290545629
4,coex_ITI,37,33,-0.1933777933777936
5,coex_VGN,31,32,-0.518817204301075
6,coex_HRV,22,20,-0.49340646516512976
7,coex_MSG,35,34,-0.25872000974302756
8,coex_ADV,27,24,-0.4343589743589744
9,coex_EMS,32,23,-0.5781776094276094
10,coex_SMU,27,21,-0.4279100529100528
11,coex_ARG,32,29,-0.2070263255469038
12,coex_TST,35,31,-0.302709118838151
13,coex_PIT,35,31,-0.2895824605502024
14,coex_LVR,34,32,-0.3232958692161729
15,coex_THY,26,22,-0.46091097308488616
16,coex_PNC,30,24,-0.6703703703703703
17,coex_ATC,33,30,-0.21406926406926408
18,coex_BRO,37,33,-0.2679419679419681
19,coex_SKN,33,27,-0.2860997816503932
20,coex_ADS,27,23,-0.5893344244408074
21,coex_GEJ,27,20,-0.2011155138254801
22,coex_BRB,23,23,-0.32608695652173925
23,coex_UTR,25,16,-0.16384711779448624
24,coex_STM,31,29,-0.35157582499073037
25,coex_HRA,28,18,-0.19814814814814818
26,coex_PRS,27,24,-0.40038461538461534
27,coex_ATA,27,26,-0.13870827285921639
28,coex_FIB,23,19,-0.4197994987468672
29,coex_BRC,37,32,-0.5405650215432822
30,coex_ATT,33,25,-0.09077380952380976
31,coex_TNV,26,22,-1.1348150962512664
32,coex_SPL,34,27,-0.457391335404836
33,coex_LCL,19,16,-0.3394551368934673
34,coex_CLS,36,33,-0.4138071895424835
35,coex_EMC,27,25,-0.397863247863248
36,coex_CLT,33,28,-0.2559701227734015
37,coex_core,37,32,-0.39822393409297563
38,coex_WBL,31,29,-0.43926585094549475
39,co-essential,7,5,-1.3714285714285719
40,GOBP,15,9,-0.23809523809523814
41,ppi,49,50,-0.09104720676149247
42,reactome_copathway,21,26,-0.27794117647058836
43,MP,12,13,-0.41541501976284545
44,HP,31,26,-0.38378825475599676
45,GI_net,19,15,-0.2282828282828282
46,gene_gene_on_CbG_name_mapped,21,21,-0.2619047619047621
47,gene_gene_on_GcG_name_mapped,32,34,-0.2141822638146169
48,GOMF,3,0,
