,Layer,Head_and_neck_cancer nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,40,42,-0.011999397771755405
1,coex_BST,29,35,-0.4713823891625615
2,coex_OVR,34,37,-0.43754338431223294
3,coex_LNG,38,40,-0.42518556005398067
4,coex_ITI,35,39,-0.3534105534105536
5,coex_VGN,39,40,-0.456966082440766
6,coex_HRV,16,18,-0.7224264705882355
7,coex_MSG,40,42,-0.2829703832752615
8,coex_ADV,22,33,-0.4969696969696966
9,coex_EMS,28,34,-0.3578205475738683
10,coex_SMU,24,29,-0.383254716981132
11,coex_ARG,30,29,-0.31034482758620663
12,coex_TST,36,39,-0.3341025641025641
13,coex_PIT,31,36,-0.28672497726421664
14,coex_LVR,36,33,-0.4492204655248133
15,coex_THY,36,32,-0.5408043569333891
16,coex_PNC,32,35,-0.4121735074626862
17,coex_ATC,32,38,-0.39983637213651213
18,coex_BRO,32,35,-0.36230010660980794
19,coex_SKN,36,41,-0.3169015943406188
20,coex_ADS,25,26,-0.8003846153846155
21,coex_GEJ,34,35,-0.37715167478117473
22,coex_BRB,26,20,-0.580267558528428
23,coex_UTR,25,31,-0.24166666666666692
24,coex_STM,38,39,-0.41773577299893105
25,coex_HRA,28,32,-0.45259900023431987
26,coex_PRS,28,36,-0.4608134920634921
27,coex_ATA,26,29,-0.4356603773584906
28,coex_FIB,31,31,-0.26569716199541693
29,coex_BRC,33,34,-0.10179051267725536
30,coex_ATT,32,31,-0.41121595716552095
31,coex_TNV,19,21,-1.1149043780622727
32,coex_SPL,35,34,-0.362288393618317
33,coex_LCL,26,28,-0.15011019728000852
34,coex_CLS,35,38,-0.2976362138222268
35,coex_EMC,36,38,-0.33571428571428585
36,coex_CLT,35,39,-0.1918214654282766
37,coex_core,35,40,-0.1659181240063592
38,coex_WBL,32,32,-0.46875
39,co-essential,22,19,-0.2356459330143541
40,GOBP,12,11,-1.2517543859649116
41,ppi,50,49,-0.2927540713254998
42,reactome_copathway,27,32,-0.18176821983273594
43,MP,11,15,-0.5389610389610389
44,HP,39,34,-0.2947746697746698
45,GI_net,32,31,-0.31753232206861226
46,gene_gene_on_CbG_name_mapped,19,13,-0.4412955465587043
47,gene_gene_on_GcG_name_mapped,35,33,-0.2800483829895595
48,GOMF,7,3,
