,Layer,Epididymitis nodes,Prostatitis nodes,sAB
0,coex_KDN,38,36,-0.41429100333209923
1,coex_BST,18,18,-0.8306722689075627
2,coex_OVR,26,17,-0.8969990435198469
3,coex_LNG,34,28,-0.8609427609427607
4,coex_ITI,35,28,-0.4964285714285712
5,coex_VGN,30,23,-0.5918258709410305
6,coex_HRV,21,12,-0.8392857142857144
7,coex_MSG,35,28,-0.5773809523809523
8,coex_ADV,28,23,-0.8155844155844156
9,coex_EMS,26,20,-0.776111111111111
10,coex_SMU,22,15,-0.5089271089271086
11,coex_ARG,20,18,-0.6043859649122809
12,coex_TST,28,24,-0.6245421245421243
13,coex_PIT,31,25,-0.6247695852534563
14,coex_LVR,32,23,-0.5218475073313782
15,coex_THY,28,25,-0.513679245283019
16,coex_PNC,23,18,-0.8044117647058822
17,coex_ATC,33,24,-0.605263157894737
18,coex_BRO,27,22,-0.294642857142857
19,coex_SKN,27,21,-0.8089003195386175
20,coex_ADS,28,18,-1.0253386378706073
21,coex_GEJ,29,21,-0.797077175697865
22,coex_BRB,25,14,-0.1120647773279353
23,coex_UTR,17,18,-0.7857620320855614
24,coex_STM,31,26,-0.6888709677419356
25,coex_HRA,20,19,-0.41666666666666696
26,coex_PRS,27,20,-0.4920568561872909
27,coex_ATA,22,20,-0.5158730158730158
28,coex_FIB,15,18,-0.49090909090909074
29,coex_BRC,19,18,-0.2712581002054688
30,coex_ATT,25,18,-0.5670028011204482
31,coex_TNV,22,12,-0.6461675579322637
32,coex_SPL,33,30,-0.5634199134199134
33,coex_LCL,20,18,-0.7291114644055818
34,coex_CLS,31,25,-1.000529953917051
35,coex_EMC,31,27,-0.6631648333539322
36,coex_CLT,35,28,-0.36184328011714695
37,coex_core,37,32,-0.5657854248935841
38,coex_WBL,33,28,-0.5730075934993968
39,co-essential,8,6,-1.8596153846153847
40,GOBP,10,15,-0.6083333333333334
41,ppi,50,50,-0.33999999999999986
42,reactome_copathway,25,17,-0.4340277777777779
43,MP,11,12,-0.37121212121212155
44,HP,39,30,-0.3835005574136008
45,GI_net,24,19,-0.6924603174603174
46,gene_gene_on_CbG_name_mapped,14,12,-0.36080586080586086
47,gene_gene_on_GcG_name_mapped,28,27,-0.5288961038961038
48,GOMF,2,3,
