,Layer,Tetralogy_of_Fallot nodes,Allergic_rhinitis nodes,sAB
0,coex_KDN,37,33,0.01840971406188796
1,coex_BST,28,18,0.12085921325051796
2,coex_OVR,31,23,0.013777458086648542
3,coex_LNG,35,34,0.5995735607675909
4,coex_ITI,36,22,0.2142857142857144
5,coex_VGN,35,20,0.27987012987013005
6,coex_HRV,14,21,0.26666666666666705
7,coex_MSG,37,28,0.13765963765963773
8,coex_ADV,28,20,0.674404761904762
9,coex_EMS,29,18,0.28148148148148167
10,coex_SMU,26,19,0.10470085470085477
11,coex_ARG,26,18,0.15967365967365987
12,coex_TST,37,29,0.06581660029935898
13,coex_PIT,31,28,0.39243731937827064
14,coex_LVR,27,21,0.09689153439153442
15,coex_THY,29,22,0.06337205728686479
16,coex_PNC,24,17,0.15176435406698552
17,coex_ATC,35,25,0.29151533494753856
18,coex_BRO,33,26,0.19446090632531288
19,coex_SKN,32,26,0.3406593406593408
20,coex_ADS,22,24,0.563417992656059
21,coex_GEJ,30,20,0.29821428571428577
22,coex_BRB,16,21,0.10931467181467225
23,coex_UTR,29,16,0.23448777064955895
24,coex_STM,33,21,0.25463274932614577
25,coex_HRA,34,21,0.1670359052711996
26,coex_PRS,32,25,0.514613880742913
27,coex_ATA,28,21,0.15221088435374153
28,coex_FIB,23,12,0.1271221532091098
29,coex_BRC,29,19,0.061214458560193474
30,coex_ATT,32,22,0.48400673400673355
31,coex_TNV,16,19,0.5388751033912325
32,coex_SPL,28,19,-0.13387857942729164
33,coex_LCL,21,10,0.19416282642089078
34,coex_CLS,30,23,0.0684465459577901
35,coex_EMC,29,20,0.20035541439806392
36,coex_CLT,30,26,-0.0023148148148146586
37,coex_core,32,27,0.5291127943929301
38,coex_WBL,22,21,0.043831168831169
39,co-essential,12,6,-0.0625
40,GOBP,14,17,0.3954849498327757
41,ppi,50,47,0.15491555165606496
42,reactome_copathway,15,14,0.33760683760683774
43,MP,12,16,1.166666666666667
44,HP,44,22,0.5454545454545454
45,GI_net,20,19,0.08274853801169613
46,gene_gene_on_CbG_name_mapped,2,12,0.1785714285714286
47,gene_gene_on_GcG_name_mapped,36,26,0.14767714364488538
48,GOMF,5,9,
