,Layer,Abnormality_of_the_coagulation_cascade nodes,Hereditary_factor_IX_deficiency_disease nodes,sAB
0,coex_KDN,42,39,-0.32027540360873696
1,coex_BST,35,24,-0.4037356321839083
2,coex_OVR,34,27,-0.29775170541805096
3,coex_LNG,37,29,-0.27118331859711153
4,coex_ITI,34,26,-0.3127450980392157
5,coex_VGN,35,28,-0.2502645502645504
6,coex_HRV,18,18,0.0
7,coex_MSG,39,31,-0.3017842372681081
8,coex_ADV,34,23,-0.10310392931876278
9,coex_EMS,31,21,-0.2645658263305324
10,coex_SMU,33,23,-0.3174995294560514
11,coex_ARG,32,20,-0.08135673624288442
12,coex_TST,39,32,-0.4657536565547129
13,coex_PIT,37,30,-0.4403271001315263
14,coex_LVR,45,40,-0.2262254901960783
15,coex_THY,27,23,0.1979883945841392
16,coex_PNC,38,30,-0.39544789663298774
17,coex_ATC,34,26,-0.1552790346907993
18,coex_BRO,33,24,-0.3463674007152271
19,coex_SKN,37,26,-0.30863121185701825
20,coex_ADS,27,24,-0.4095860566448799
21,coex_GEJ,33,24,-0.6101655138339921
22,coex_BRB,15,12,-0.4027777777777777
23,coex_UTR,28,17,-0.06452922077922074
24,coex_STM,38,30,-0.3054695562435499
25,coex_HRA,31,23,-0.3218534102124564
26,coex_PRS,33,26,-0.16657777250997596
27,coex_ATA,33,25,-0.48155901116427424
28,coex_FIB,33,19,-0.3787878787878789
29,coex_BRC,37,23,-0.5216653479365343
30,coex_ATT,35,28,-0.5232813634452977
31,coex_TNV,19,16,-0.3169286853497377
32,coex_SPL,43,37,-0.4024238907959836
33,coex_LCL,27,22,-0.1513090084518658
34,coex_CLS,39,27,-0.27564102564102555
35,coex_EMC,39,30,-0.2898053958425475
36,coex_CLT,35,30,-0.41410256410256396
37,coex_core,36,29,-0.19218664477285174
38,coex_WBL,35,32,-0.12312100213219623
39,co-essential,14,8,0.1566558441558441
40,GOBP,28,31,0.05667305236270748
41,ppi,49,50,-0.17206761492475797
42,reactome_copathway,29,22,-0.11862026862026842
43,MP,11,12,-0.40909090909090917
44,HP,49,33,-0.12731345309742514
45,GI_net,26,17,0.06761022834894259
46,gene_gene_on_CbG_name_mapped,12,22,-0.05926916221033873
47,gene_gene_on_GcG_name_mapped,32,36,-0.5147058823529411
48,GOMF,4,9,
