,Layer,Gingivostomatitis nodes,Gingival_disorder nodes,sAB
0,coex_KDN,33,40,-0.3560917393109173
1,coex_BST,11,21,-0.016666666666666607
2,coex_OVR,16,34,-0.3294852941176467
3,coex_LNG,36,36,0.057142857142857384
4,coex_ITI,27,38,-0.10863697705802977
5,coex_VGN,17,32,-0.09583208283313316
6,coex_HRV,21,20,0.23554006968641117
7,coex_MSG,34,35,-0.05702106929728412
8,coex_ADV,27,36,0.2925503458290346
9,coex_EMS,16,30,-0.6306513409961687
10,coex_SMU,13,32,-0.033143939393939226
11,coex_ARG,12,30,-0.2857142857142858
12,coex_TST,19,33,-0.17356766040976557
13,coex_PIT,21,34,-0.10593681917211328
14,coex_LVR,36,40,-0.06286324786324782
15,coex_THY,17,33,-0.37419342737094796
16,coex_PNC,19,30,-0.22368421052631593
17,coex_ATC,27,29,-0.13219194598504957
18,coex_BRO,23,28,-0.045655218609182535
19,coex_SKN,18,35,-0.20849673202614372
20,coex_ADS,20,27,-0.28336120401337794
21,coex_GEJ,32,28,0.13801392572944282
22,coex_BRB,21,22,-0.46839826839826815
23,coex_UTR,10,29,-0.47481203007518813
24,coex_STM,32,36,0.061887254901960675
25,coex_HRA,20,27,0.024074074074074137
26,coex_PRS,17,34,-0.10864345738295289
27,coex_ATA,27,29,0.09380711880711878
28,coex_FIB,13,27,0.10968660968660959
29,coex_BRC,17,30,-0.03721668577475956
30,coex_ATT,19,30,-0.1335054397934723
31,coex_TNV,12,21,-0.2878787878787876
32,coex_SPL,34,43,-0.14576634036278335
33,coex_LCL,14,23,0.24979053204859647
34,coex_CLS,24,31,-0.09748508098891717
35,coex_EMC,29,32,0.07642912662521195
36,coex_CLT,24,35,-0.09425770308123238
37,coex_core,36,38,0.1412376662376662
38,coex_WBL,35,35,-0.05210084033613449
39,co-essential,5,14,-0.16503759398496243
40,GOBP,12,18,0.2870370370370372
41,ppi,50,49,-0.21247783962069677
42,reactome_copathway,28,26,-0.18520390967307043
43,MP,11,12,-0.8181818181818183
44,HP,23,46,-0.28260869565217406
45,GI_net,24,23,-0.5672877846790891
46,gene_gene_on_CbG_name_mapped,22,8,-0.3276515151515149
47,gene_gene_on_GcG_name_mapped,27,25,-0.7663817663817667
48,GOMF,4,3,
