,Layer,Keloid nodes,Conjunctivitis nodes,sAB
0,coex_KDN,42,40,-0.01058362369337984
1,coex_BST,25,27,0.24874643874643887
2,coex_OVR,32,31,-0.09543010752688152
3,coex_LNG,35,35,0.19535344667039123
4,coex_ITI,36,36,0.11111111111111116
5,coex_VGN,41,35,0.10383181441590716
6,coex_HRV,26,19,0.00212885154061615
7,coex_MSG,37,38,0.08059743954480791
8,coex_ADV,29,27,0.1922527472527471
9,coex_EMS,30,30,-0.2586206896551724
10,coex_SMU,30,27,0.30176975004561224
11,coex_ARG,30,29,-0.018170426065162726
12,coex_TST,31,33,0.014510019550342257
13,coex_PIT,34,33,-0.07478649533083237
14,coex_LVR,40,28,0.017522278716308515
15,coex_THY,30,34,0.4223039215686275
16,coex_PNC,32,29,0.029847979236188316
17,coex_ATC,27,32,0.026787115505335857
18,coex_BRO,31,32,0.015104966717870205
19,coex_SKN,37,32,0.14677754677754695
20,coex_ADS,31,29,0.24323322209862797
21,coex_GEJ,33,35,-0.12601591956430713
22,coex_BRB,22,22,0.1363636363636367
23,coex_UTR,27,26,-0.09312217194570138
24,coex_STM,37,30,0.03546456904665862
25,coex_HRA,30,25,-0.10803234501347725
26,coex_PRS,32,33,-0.05757575757575761
27,coex_ATA,33,29,0.2644857922944688
28,coex_FIB,27,23,0.16050098969353632
29,coex_BRC,29,25,0.007021563342318071
30,coex_ATT,36,31,0.27963881996140083
31,coex_TNV,25,18,0.2777777777777781
32,coex_SPL,38,36,0.21671013118381532
33,coex_LCL,18,29,0.03109526638938398
34,coex_CLS,34,33,-0.062274184149184286
35,coex_EMC,33,36,0.11335784313725483
36,coex_CLT,35,37,0.029241261722080303
37,coex_core,44,42,0.2669487783338238
38,coex_WBL,35,38,0.30925352597179234
39,co-essential,7,5,-0.606060606060606
40,GOBP,19,21,1.8730158730158735
41,ppi,49,50,0.20218305504019796
42,reactome_copathway,29,26,0.19241718426501042
43,MP,15,16,0.4741071428571426
44,HP,30,46,0.27059496567505725
45,GI_net,21,21,-0.07500000000000018
46,gene_gene_on_CbG_name_mapped,7,9,0.27182539682539675
47,gene_gene_on_GcG_name_mapped,32,35,-0.06481876332622605
48,GOMF,6,6,-0.6666666666666667
