,Layer,Allergic_rhinitis nodes,Narcolepsy nodes,sAB
0,coex_KDN,33,31,-0.3356374807987714
1,coex_BST,18,19,-0.38169748696064465
2,coex_OVR,23,19,-0.05757575757575761
3,coex_LNG,34,24,-0.17672413793103448
4,coex_ITI,22,26,0.129413140051438
5,coex_VGN,20,22,-0.1166666666666667
6,coex_HRV,21,12,-0.06493506493506507
7,coex_MSG,28,22,-0.20077922077922072
8,coex_ADV,20,18,0.216454689984102
9,coex_EMS,18,21,-0.08040935672514626
10,coex_SMU,19,21,-0.10409035409035394
11,coex_ARG,18,22,0.15530303030303028
12,coex_TST,29,28,-0.21170382853685932
13,coex_PIT,28,26,0.10241147741147727
14,coex_LVR,21,22,-0.1611295681063123
15,coex_THY,22,22,-0.09090909090909127
16,coex_PNC,17,19,-0.2872650375939849
17,coex_ATC,25,22,-0.26194005270092235
18,coex_BRO,26,32,-0.025530503978779873
19,coex_SKN,26,24,-0.24422006564863707
20,coex_ADS,24,17,-0.30801649928263997
21,coex_GEJ,20,20,0.050877192982456076
22,coex_BRB,21,22,-0.22893385684083345
23,coex_UTR,16,18,-0.3360412713472485
24,coex_STM,21,24,-0.3441558441558439
25,coex_HRA,21,20,-0.38919860627177694
26,coex_PRS,25,25,0.018707482993197466
27,coex_ATA,21,21,-0.23809523809523814
28,coex_FIB,12,16,-0.10863095238095255
29,coex_BRC,19,25,-0.13221644226846152
30,coex_ATT,22,22,-0.16612554112554134
31,coex_TNV,19,13,0.10835401157981828
32,coex_SPL,19,23,-0.16541353383458635
33,coex_LCL,10,14,-0.21036789297658842
34,coex_CLS,23,25,-0.12501927227875465
35,coex_EMC,20,22,-0.1843564009802776
36,coex_CLT,26,22,-0.0880270092226616
37,coex_core,27,27,0.03846153846153855
38,coex_WBL,21,23,-0.14772727272727249
39,co-essential,6,9,-0.6160714285714284
40,GOBP,17,22,0.36080586080586086
41,ppi,47,49,-0.19885294543349263
42,reactome_copathway,14,18,-0.005692599620493288
43,MP,16,12,1.364568764568765
44,HP,22,28,0.25448051948051975
45,GI_net,19,17,-0.20172735760971006
46,gene_gene_on_CbG_name_mapped,12,11,-0.17292490118577075
47,gene_gene_on_GcG_name_mapped,26,26,-0.32692307692307687
48,GOMF,9,12,
