,Layer,Urticaria nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,38,27,0.10081956956956972
1,coex_BST,17,22,0.27392344497607635
2,coex_OVR,27,21,0.23027375201288214
3,coex_LNG,29,25,0.2735309973045821
4,coex_ITI,32,25,0.35468201754385964
5,coex_VGN,30,21,-0.08025210084033607
6,coex_HRV,19,9,-0.10185185185185164
7,coex_MSG,36,25,0.17191256830601098
8,coex_ADV,28,21,0.18205128205128185
9,coex_EMS,24,17,0.32248326159732166
10,coex_SMU,25,18,0.1892248062015507
11,coex_ARG,20,22,0.052631578947368585
12,coex_TST,27,30,0.17729044834307994
13,coex_PIT,30,24,0.21797921793820074
14,coex_LVR,30,23,-0.09543305270441693
15,coex_THY,24,21,0.16269841269841256
16,coex_PNC,24,18,0.005952380952380931
17,coex_ATC,26,24,0.3878231292517007
18,coex_BRO,32,24,0.3452956989247311
19,coex_SKN,32,22,-0.004246666297792245
20,coex_ADS,31,18,1.0662703379224032
21,coex_GEJ,27,19,0.7024954212454215
22,coex_BRB,19,16,0.5051221804511279
23,coex_UTR,20,19,0.07894736842105265
24,coex_STM,29,20,-0.12355735397607326
25,coex_HRA,24,23,0.19253711558854736
26,coex_PRS,25,17,-0.012344571975131835
27,coex_ATA,23,23,0.1324570273003034
28,coex_FIB,23,17,0.021739130434782705
29,coex_BRC,24,22,0.17297195558065104
30,coex_ATT,27,22,0.00409035409035452
31,coex_TNV,12,15,0.6909090909090909
32,coex_SPL,30,22,0.09230769230769242
33,coex_LCL,15,16,-0.032258064516129004
34,coex_CLS,28,19,0.12606837606837606
35,coex_EMC,26,18,0.053571428571428825
36,coex_CLT,30,20,0.26596849266022193
37,coex_core,37,28,0.7271554341226474
38,coex_WBL,33,24,0.05795454545454559
39,co-essential,8,6,0.3125
40,GOBP,19,20,1.6315789473684212
41,ppi,50,45,0.1831578947368422
42,reactome_copathway,25,23,0.6574440052700923
43,MP,12,13,2.105769230769231
44,HP,38,48,0.7631323949408402
45,GI_net,20,14,0.018472566859663697
46,gene_gene_on_CbG_name_mapped,18,11,0.37991988854057834
47,gene_gene_on_GcG_name_mapped,28,31,-0.05196047801296566
48,GOMF,9,4,
