,Layer,Joint_hemorrhage nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,37,30,-0.0067298641925508385
1,coex_BST,15,21,0.395798319327731
2,coex_OVR,21,24,0.2530585356672317
3,coex_LNG,21,26,0.4363561076604552
4,coex_ITI,26,29,0.2096575837955148
5,coex_VGN,24,29,0.3497885491216657
6,coex_HRV,24,10,0.7041666666666666
7,coex_MSG,32,24,0.38467261904761907
8,coex_ADV,16,23,0.1656698564593304
9,coex_EMS,16,23,0.31309225195094736
10,coex_SMU,21,18,0.3293650793650795
11,coex_ARG,15,27,0.4579945799457992
12,coex_TST,30,34,0.1917892156862746
13,coex_PIT,34,30,0.39049059139784936
14,coex_LVR,40,21,0.21369047619047632
15,coex_THY,19,18,0.23376007586533865
16,coex_PNC,27,19,0.4771748492678727
17,coex_ATC,24,25,0.2853061224489797
18,coex_BRO,27,27,0.48148148148148184
19,coex_SKN,24,22,0.32712215320910953
20,coex_ADS,26,18,0.005550878669893233
21,coex_GEJ,16,21,0.2652777777777775
22,coex_BRB,21,20,0.7993612078977934
23,coex_UTR,13,17,0.08054298642533908
24,coex_STM,31,24,0.27118768328445775
25,coex_HRA,16,23,0.017941750278706703
26,coex_PRS,19,22,-0.12057999766600558
27,coex_ATA,25,16,0.15990853658536563
28,coex_FIB,12,16,0.31547619047619024
29,coex_BRC,19,26,0.590395861448493
30,coex_ATT,27,23,0.06541375291375306
31,coex_TNV,22,10,0.7183563748079878
32,coex_SPL,35,24,0.4018261766949345
33,coex_LCL,12,19,0.16971438523162696
34,coex_CLS,25,28,0.148787061994609
35,coex_EMC,24,19,0.15428433889602067
36,coex_CLT,26,25,0.24
37,coex_core,30,23,0.38764271710298726
38,coex_WBL,24,21,0.6212121212121215
39,co-essential,1,6,
40,GOBP,23,29,2.3018115942028983
41,ppi,50,39,0.39025064822817623
42,reactome_copathway,31,18,2.188214434710054
43,MP,17,8,1.2866847826086953
44,HP,39,40,1.024647030185005
45,GI_net,10,19,-0.20190562613430085
46,gene_gene_on_CbG_name_mapped,23,14,0.14273124055732755
47,gene_gene_on_GcG_name_mapped,32,27,-0.03275070621468945
48,GOMF,5,10,
