,Layer,Wilson_disease nodes,Vitiligo nodes,sAB
0,coex_KDN,46,36,0.29732237539766704
1,coex_BST,30,20,0.32166666666666677
2,coex_OVR,32,27,0.32793040293040265
3,coex_LNG,37,31,0.1772398584542798
4,coex_ITI,41,32,0.3066321416638824
5,coex_VGN,33,28,0.11000816123766932
6,coex_HRV,19,16,0.25855263157894726
7,coex_MSG,40,28,-0.12846638655462184
8,coex_ADV,34,20,0.14842047930283186
9,coex_EMS,35,22,-0.05759854180906787
10,coex_SMU,33,20,-0.02741566609491164
11,coex_ARG,31,21,0.12073055028462987
12,coex_TST,36,31,0.1464451933878992
13,coex_PIT,36,24,0.026529108327192352
14,coex_LVR,39,25,0.1344360902255639
15,coex_THY,34,25,0.2728317659352144
16,coex_PNC,36,22,0.047827903091060886
17,coex_ATC,33,26,0.09975961538461542
18,coex_BRO,34,29,0.22729321613702957
19,coex_SKN,34,26,0.13257918552036174
20,coex_ADS,26,23,0.2652972027972025
21,coex_GEJ,34,22,0.20303030303030312
22,coex_BRB,27,21,-0.10685579196217487
23,coex_UTR,25,16,0.34585365853658523
24,coex_STM,39,27,0.1628205128205127
25,coex_HRA,34,19,0.011230212045096
26,coex_PRS,34,20,0.06833905088622094
27,coex_ATA,33,26,0.03990359922563291
28,coex_FIB,32,17,0.10387905162064826
29,coex_BRC,32,24,-0.11681547619047583
30,coex_ATT,34,27,0.3309764309764316
31,coex_TNV,17,18,0.04556489262371599
32,coex_SPL,36,30,0.0949494949494949
33,coex_LCL,21,18,0.12154213036565986
34,coex_CLS,39,25,0.19908653846153834
35,coex_EMC,37,27,0.134945384945385
36,coex_CLT,38,29,0.14394452420294157
37,coex_core,40,30,0.25312151616499445
38,coex_WBL,31,32,0.1426011264720941
39,co-essential,15,7,-0.011111111111111072
40,GOBP,15,17,0.8036945812807885
41,ppi,48,49,0.06338759730696397
42,reactome_copathway,30,17,0.46661324786324787
43,MP,11,17,1.3033333333333328
44,HP,31,37,0.4265859787681421
45,GI_net,30,13,-0.0477642276422765
46,gene_gene_on_CbG_name_mapped,19,6,-0.2728070175438595
47,gene_gene_on_GcG_name_mapped,28,24,-0.226419413919414
48,GOMF,7,9,-1.0
