,Layer,Adrenogenital_syndrome nodes,Endometrial_carcinoma nodes,sAB
0,coex_KDN,33,45,0.19696969696969702
1,coex_BST,26,38,0.18810843810843791
2,coex_OVR,33,34,0.031166443850267456
3,coex_LNG,28,39,0.03286452353616509
4,coex_ITI,31,40,0.06093820990458876
5,coex_VGN,30,38,-0.14826542960871314
6,coex_HRV,10,18,-0.0017429193899785034
7,coex_MSG,33,44,0.03192640692640669
8,coex_ADV,25,30,-0.09030303030303077
9,coex_EMS,24,32,-0.159274193548387
10,coex_SMU,25,37,0.1703923278116828
11,coex_ARG,32,32,0.022177419354838745
12,coex_TST,37,41,0.0955326808985344
13,coex_PIT,32,36,-0.0824142156862746
14,coex_LVR,27,34,0.15168350168350164
15,coex_THY,22,32,0.38717948717948714
16,coex_PNC,24,34,-0.10458924949290083
17,coex_ATC,29,37,0.11396820017509657
18,coex_BRO,27,34,-0.0504482302939393
19,coex_SKN,33,37,0.033707733707733833
20,coex_ADS,20,29,0.47083333333333366
21,coex_GEJ,28,34,-0.0025940696429231913
22,coex_BRB,15,18,0.1262626262626263
23,coex_UTR,24,30,-0.24490740740740757
24,coex_STM,30,36,-0.09898989898989896
25,coex_HRA,31,33,0.20833133022450845
26,coex_PRS,25,38,0.08047079337401897
27,coex_ATA,29,30,-0.1254789272030652
28,coex_FIB,24,34,-0.009469696969697017
29,coex_BRC,27,35,0.09069807134323238
30,coex_ATT,31,33,-0.2416666666666667
31,coex_TNV,18,19,0.3368121442125238
32,coex_SPL,25,34,0.10366899302093735
33,coex_LCL,24,26,0.2139102564102564
34,coex_CLS,24,39,0.2965506715506714
35,coex_EMC,29,33,0.19865516996664545
36,coex_CLT,28,40,0.1239747095010253
37,coex_core,32,43,0.23358132666969578
38,coex_WBL,28,37,0.4045024286959773
39,co-essential,14,22,0.8095238095238093
40,GOBP,31,14,0.9980261673810058
41,ppi,49,50,0.3219727891156463
42,reactome_copathway,16,29,1.1109195402298853
43,MP,11,17,-0.09511077158135972
44,HP,44,36,0.27727272727272734
45,GI_net,20,32,0.1327166350411133
46,gene_gene_on_CbG_name_mapped,17,18,0.28389355742296907
47,gene_gene_on_GcG_name_mapped,28,31,-0.07498043093148765
48,GOMF,8,3,
