,Layer,Endometriosis nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,31,26,0.1482412607200383
1,coex_BST,19,24,-0.08200734394124876
2,coex_OVR,18,20,0.030961844197138433
3,coex_LNG,19,24,0.162892696858425
4,coex_ITI,26,26,0.13461538461538458
5,coex_VGN,18,25,0.22246498599439768
6,coex_HRV,17,9,0.22448466566113634
7,coex_MSG,27,25,0.11774928774928761
8,coex_ADV,11,15,0.07062937062937102
9,coex_EMS,16,21,-0.15555555555555545
10,coex_SMU,11,18,-0.11563552188552206
11,coex_ARG,14,17,-0.028273809523809756
12,coex_TST,26,24,-0.03858974358974354
13,coex_PIT,21,18,0.24020467836257287
14,coex_LVR,12,21,0.13744588744588748
15,coex_THY,20,21,0.1379072681704261
16,coex_PNC,13,18,0.5942238764819407
17,coex_ATC,12,22,-0.015151515151515582
18,coex_BRO,19,18,-0.15512881302354975
19,coex_SKN,15,22,0.3960317460317464
20,coex_ADS,17,20,0.34304451510333855
21,coex_GEJ,15,20,0.10081585081585054
22,coex_BRB,10,12,0.2231601731601729
23,coex_UTR,14,19,0.26745951417004044
24,coex_STM,23,24,0.1502274128893002
25,coex_HRA,10,18,-0.19206349206349227
26,coex_PRS,16,22,-0.36019536019536025
27,coex_ATA,12,18,-0.32499999999999973
28,coex_FIB,13,21,-0.10590390002154715
29,coex_BRC,15,18,-0.05858585858585874
30,coex_ATT,13,19,0.16111111111111098
31,coex_TNV,15,12,0.17685185185185182
32,coex_SPL,19,23,0.43069630598234765
33,coex_LCL,8,19,-0.18045112781954886
34,coex_CLS,15,21,-0.142063492063492
35,coex_EMC,18,23,0.3703900082479086
36,coex_CLT,19,26,0.0837320574162681
37,coex_core,21,26,0.5027777777777778
38,coex_WBL,16,17,0.16899509803921564
39,co-essential,4,17,-0.05085784313725483
40,GOBP,15,3,2.0721153846153846
41,ppi,50,46,-0.01300724637681161
42,reactome_copathway,18,31,0.14074296499656835
43,MP,15,7,-0.04155844155844157
44,HP,17,22,0.1156245715069244
45,GI_net,15,29,0.05742353075953721
46,gene_gene_on_CbG_name_mapped,15,16,0.06418010752688197
47,gene_gene_on_GcG_name_mapped,28,26,0.017195767195766987
48,GOMF,11,1,
