,Layer,Chorea nodes,Cholecystitis nodes,sAB
0,coex_KDN,41,35,-0.04043645699614884
1,coex_BST,35,34,0.07352941176470584
2,coex_OVR,37,31,0.054578754578754385
3,coex_LNG,39,35,0.0019425019425014511
4,coex_ITI,42,37,-0.08095889741459361
5,coex_VGN,40,31,0.09821428571428559
6,coex_HRV,16,23,-0.22502990430621983
7,coex_MSG,41,37,-0.004453797136724003
8,coex_ADV,31,28,0.014522417153995715
9,coex_EMS,36,29,0.04656646035956369
10,coex_SMU,35,29,-0.21366995073891637
11,coex_ARG,37,28,-0.1113157113157115
12,coex_TST,43,39,0.15084282327617538
13,coex_PIT,41,35,-0.005389765662362489
14,coex_LVR,33,38,-0.09590718152615851
15,coex_THY,32,28,-0.14583496055611977
16,coex_PNC,37,29,-0.09935327176706465
17,coex_ATC,35,29,0.025000000000000133
18,coex_BRO,42,33,0.04637226512226533
19,coex_SKN,39,33,-0.05409867909867927
20,coex_ADS,30,24,0.11970222871757397
21,coex_GEJ,40,31,0.0021974306964165358
22,coex_BRB,26,17,0.09832875457875456
23,coex_UTR,30,28,0.05923645320197046
24,coex_STM,39,32,-0.064826127819549
25,coex_HRA,40,33,-0.06885637193856375
26,coex_PRS,34,30,0.008700980392156943
27,coex_ATA,30,25,-0.2643518518518517
28,coex_FIB,33,28,0.12091938116528289
29,coex_BRC,43,31,-0.01061414002149208
30,coex_ATT,34,30,0.1298979361859689
31,coex_TNV,16,18,-0.09553253119429606
32,coex_SPL,36,33,0.132246376811594
33,coex_LCL,26,22,0.07750582750582735
34,coex_CLS,35,36,-0.08571428571428585
35,coex_EMC,39,30,0.030269932906849872
36,coex_CLT,38,36,0.12116721985143042
37,coex_core,41,34,0.057260142625996435
38,coex_WBL,36,28,-0.20114087301587302
39,co-essential,11,10,-0.06315789473684186
40,GOBP,20,18,0.10651260504201687
41,ppi,49,50,0.22338693052978775
42,reactome_copathway,18,16,0.5309184350132625
43,MP,12,13,0.2932051282051278
44,HP,42,36,0.6863553113553114
45,GI_net,20,20,-0.03279352226720644
46,gene_gene_on_CbG_name_mapped,12,15,-0.07592592592592595
47,gene_gene_on_GcG_name_mapped,39,30,-0.12023411371237458
48,GOMF,3,5,
