,Layer,Chapped_lip nodes,Ichthyosis nodes,sAB
0,coex_KDN,33,35,-0.7150735294117647
1,coex_BST,28,28,-0.5714285714285714
2,coex_OVR,41,42,-0.6488357611631193
3,coex_LNG,27,28,-0.5114866614866618
4,coex_ITI,26,27,-0.45201042842552286
5,coex_VGN,41,48,-0.5693968667214763
6,coex_HRV,14,14,-1.0000000000000002
7,coex_MSG,43,48,-0.6107259988073942
8,coex_ADV,15,24,-0.819551282051282
9,coex_EMS,36,33,-0.680230614973262
10,coex_SMU,23,28,-0.6578099838969402
11,coex_ARG,22,26,-0.6321276595744683
12,coex_TST,28,28,-0.5110149110149109
13,coex_PIT,25,29,-0.735197956577267
14,coex_LVR,22,22,-0.5227272727272727
15,coex_THY,25,25,-0.96
16,coex_PNC,23,24,-0.8043478260869565
17,coex_ATC,22,27,-0.6623376623376622
18,coex_BRO,26,29,-0.8496296296296295
19,coex_SKN,41,47,-0.5346570269377744
20,coex_ADS,36,34,-1.0921802054154994
21,coex_GEJ,41,39,-0.6509693558474047
22,coex_BRB,19,15,-1.0969040247678024
23,coex_UTR,18,23,-1.002209261223047
24,coex_STM,26,30,-0.6331082710393054
25,coex_HRA,19,27,-0.920332231545046
26,coex_PRS,34,31,-0.5864545321850825
27,coex_ATA,21,25,-0.9475776397515527
28,coex_FIB,24,27,-0.6836873638344226
29,coex_BRC,25,27,-0.6192307692307693
30,coex_ATT,22,24,-0.8120772946859907
31,coex_TNV,28,24,-0.8009339774557167
32,coex_SPL,25,24,-0.5089285714285714
33,coex_LCL,15,20,-0.8392156862745097
34,coex_CLS,24,26,-0.7547826086956522
35,coex_EMC,42,42,-0.540650406504065
36,coex_CLT,24,30,-0.4564814814814815
37,coex_core,42,40,-0.4525987224157956
38,coex_WBL,26,25,-0.868684012066365
39,co-essential,13,13,-0.8846153846153846
40,GOBP,22,29,-0.6094155844155842
41,ppi,50,49,-0.37388579674293965
42,reactome_copathway,24,13,-0.31968864468864466
43,MP,16,19,-1.0703947368421054
44,HP,49,45,-0.2704443479519466
45,GI_net,18,22,-0.8112745098039216
46,gene_gene_on_CbG_name_mapped,8,9,-0.7058823529411764
47,gene_gene_on_GcG_name_mapped,37,33,-0.6417339417339418
48,GOMF,4,8,
