,Layer,Pulmonary_fibrosis nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,33,33,0.12743506493506507
1,coex_BST,13,23,0.30289710289710303
2,coex_OVR,19,27,0.12123908805831007
3,coex_LNG,25,23,0.23608695652173894
4,coex_ITI,29,31,0.046774193548386966
5,coex_VGN,18,29,0.15839940992070822
6,coex_HRV,23,37,0.45141173531004064
7,coex_MSG,27,42,0.25247296986427425
8,coex_ADV,18,23,0.4715152586308471
9,coex_EMS,16,30,0.16776315789473673
10,coex_SMU,12,32,0.8499053030303032
11,coex_ARG,12,23,-0.2150662636596139
12,coex_TST,17,34,-0.08459633853541404
13,coex_PIT,23,25,0.06499999999999995
14,coex_LVR,21,21,0.09700929152148685
15,coex_THY,20,27,0.43704453441295543
16,coex_PNC,22,14,-0.05230880230880208
17,coex_ATC,18,34,1.4328676470588233
18,coex_BRO,19,27,0.374741340530814
19,coex_SKN,15,27,0.008465608465608732
20,coex_ADS,16,22,0.7230548730548731
21,coex_GEJ,20,22,0.12045454545454515
22,coex_BRB,18,18,0.05555555555555536
23,coex_UTR,10,21,0.03650793650793682
24,coex_STM,24,31,-0.05136852394916902
25,coex_HRA,17,39,0.30661495367377745
26,coex_PRS,20,39,0.10265717343757252
27,coex_ATA,16,19,0.1430340557275538
28,coex_FIB,14,15,0.16970443349753683
29,coex_BRC,18,26,0.011904761904762307
30,coex_ATT,18,26,0.21666666666666679
31,coex_TNV,10,21,0.15116959064327506
32,coex_SPL,18,25,0.11431524547803651
33,coex_LCL,9,17,-0.15833333333333321
34,coex_CLS,18,29,-0.13563218390804588
35,coex_EMC,17,23,0.09153318077803174
36,coex_CLT,25,27,-0.07967948717948725
37,coex_core,30,35,0.6306848879707614
38,coex_WBL,23,29,0.4331896551724137
39,co-essential,8,9,-0.0004084967320259203
40,GOBP,10,19,1.9014285714285712
41,ppi,50,50,0.32000000000000006
42,reactome_copathway,28,18,0.816925522807876
43,MP,15,20,1.1369047619047614
44,HP,25,43,0.8518604651162791
45,GI_net,19,16,0.1042892156862747
46,gene_gene_on_CbG_name_mapped,12,11,0.43033596837944654
47,gene_gene_on_GcG_name_mapped,31,31,0.06451612903225801
48,GOMF,4,1,
