,Layer,Ewing_sarcoma nodes,Diabetes_mellitus_type_1 nodes,sAB
0,coex_KDN,42,35,-0.11969696969696964
1,coex_BST,34,18,-0.16214177978883892
2,coex_OVR,34,19,-0.33710407239818996
3,coex_LNG,33,24,-0.03309409888357262
4,coex_ITI,40,31,0.033229213993639206
5,coex_VGN,39,26,-0.23931623931623935
6,coex_HRV,16,17,-0.5339460784313728
7,coex_MSG,37,28,-0.021250371250371325
8,coex_ADV,27,17,-0.20370370370370372
9,coex_EMS,30,21,-0.3761904761904762
10,coex_SMU,33,20,-0.1716635041113217
11,coex_ARG,29,17,-0.11547619047619051
12,coex_TST,38,23,-0.16448775181003117
13,coex_PIT,35,22,-0.016666666666666607
14,coex_LVR,33,28,-0.07471080831736554
15,coex_THY,35,24,0.12023809523809526
16,coex_PNC,33,27,0.015151515151515138
17,coex_ATC,38,24,-0.139334362873208
18,coex_BRO,32,28,0.0662202380952377
19,coex_SKN,33,20,-0.0699643493761144
20,coex_ADS,29,24,-0.3697435897435897
21,coex_GEJ,30,20,-0.2888888888888892
22,coex_BRB,21,24,-0.04833164812942359
23,coex_UTR,28,15,-0.32738095238095255
24,coex_STM,36,29,-0.022863247863247782
25,coex_HRA,35,20,-0.21673628515733756
26,coex_PRS,31,20,0.15863377609108165
27,coex_ATA,33,27,-0.36269064986737387
28,coex_FIB,31,15,-0.2356595511767925
29,coex_BRC,37,24,0.05123384253819063
30,coex_ATT,34,22,0.1295454545454544
31,coex_TNV,22,19,-0.3000397456279811
32,coex_SPL,33,26,0.0025779305440325473
33,coex_LCL,27,15,-0.040900562851782674
34,coex_CLS,34,27,-0.04992458521870269
35,coex_EMC,32,18,-0.038263888888888875
36,coex_CLT,34,25,0.1581655034895315
37,coex_core,38,31,-0.24282765737874112
38,coex_WBL,35,26,0.09677535579174923
39,co-essential,13,4,-0.872727272727273
40,GOBP,7,12,-1.128787878787879
41,ppi,50,50,0.08000000000000007
42,reactome_copathway,18,20,0.07020202020202015
43,MP,5,14,2.0021645021645025
44,HP,37,33,0.33981513981513967
45,GI_net,32,17,0.33288043478260887
46,gene_gene_on_CbG_name_mapped,8,13,0.013278388278388231
47,gene_gene_on_GcG_name_mapped,29,33,-0.034516466107122445
48,GOMF,2,8,
