,Layer,Celiac_disease nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,32,30,0.22331989247311812
1,coex_BST,17,21,0.24896661367249617
2,coex_OVR,23,24,0.043478260869564966
3,coex_LNG,28,26,0.21460916442048505
4,coex_ITI,29,29,0.13793103448275845
5,coex_VGN,21,29,0.06962233169129739
6,coex_HRV,14,10,0.2964285714285717
7,coex_MSG,28,24,0.17261904761904767
8,coex_ADV,18,23,-0.06313131313131315
9,coex_EMS,21,23,0.293149646107179
10,coex_SMU,17,18,0.2136437908496731
11,coex_ARG,14,27,0.3055555555555558
12,coex_TST,23,34,0.40848925382509993
13,coex_PIT,21,30,0.11190476190476195
14,coex_LVR,21,21,0.30952380952380953
15,coex_THY,23,18,0.2113821138211378
16,coex_PNC,22,19,0.2924297924297927
17,coex_ATC,24,25,0.06039115646258475
18,coex_BRO,24,27,0.40958605664488035
19,coex_SKN,21,22,0.07142857142857162
20,coex_ADS,19,18,0.29575163398692794
21,coex_GEJ,22,21,0.5326839826839826
22,coex_BRB,16,20,0.48263888888888884
23,coex_UTR,12,17,-0.15601757944557137
24,coex_STM,27,24,0.11465141612200425
25,coex_HRA,18,23,0.1214504536349712
26,coex_PRS,23,22,-0.19043570181082847
27,coex_ATA,26,16,-0.07726648351648358
28,coex_FIB,17,16,0.6053921568627452
29,coex_BRC,20,26,0.18536789297658807
30,coex_ATT,22,23,0.09090909090909083
31,coex_TNV,17,10,0.3374999999999999
32,coex_SPL,31,24,0.3382421692379618
33,coex_LCL,16,19,0.15101010101010104
34,coex_CLS,21,28,0.09523809523809534
35,coex_EMC,26,19,0.27391488560399235
36,coex_CLT,23,25,0.06768115942029018
37,coex_core,34,23,0.6932781465185074
38,coex_WBL,29,21,0.4447278911564627
39,co-essential,5,6,-0.06969696969696981
40,GOBP,18,29,2.312195121951219
41,ppi,49,39,0.18422648779791628
42,reactome_copathway,19,18,1.0942552459580321
43,MP,15,8,0.8848484848484848
44,HP,26,40,0.5371503496503496
45,GI_net,15,19,-0.03087263613579383
46,gene_gene_on_CbG_name_mapped,11,14,0.44584415584415593
47,gene_gene_on_GcG_name_mapped,30,27,0.19736842105263164
48,GOMF,15,10,
