,Layer,Abetalipoproteinaemia nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,28,29,-0.1381903033445684
1,coex_BST,21,20,-0.14855889724310778
2,coex_OVR,23,25,-0.1073465926611159
3,coex_LNG,26,30,-0.0476923076923077
4,coex_ITI,30,24,-0.19305555555555554
5,coex_VGN,23,27,-0.1077742133642754
6,coex_HRV,15,15,0.27619047619047565
7,coex_MSG,28,28,-0.03571428571428559
8,coex_ADV,18,22,-0.1252388752388751
9,coex_EMS,22,20,-0.0651515151515154
10,coex_SMU,18,19,-0.11344238975817911
11,coex_ARG,21,21,-0.16666666666666652
12,coex_TST,29,24,0.05151098901098905
13,coex_PIT,29,25,-0.008939974457215838
14,coex_LVR,21,31,-0.0561781609195402
15,coex_THY,19,21,-0.10293187924766878
16,coex_PNC,21,23,-0.1099190664408054
17,coex_ATC,20,20,-0.17500000000000027
18,coex_BRO,32,27,-0.275129472693032
19,coex_SKN,21,23,-0.1379995973019228
20,coex_ADS,18,19,-0.26742532005689945
21,coex_GEJ,23,21,-0.1017786561264824
22,coex_BRB,26,18,-0.15350274725274726
23,coex_UTR,13,19,-0.2472165991902835
24,coex_STM,27,23,-0.3114009661835746
25,coex_HRA,19,20,-0.17358299595141702
26,coex_PRS,19,24,-0.19055997552019566
27,coex_ATA,16,17,0.05035239902412547
28,coex_FIB,18,19,-0.2128654970760233
29,coex_BRC,24,26,-0.010072463768115991
30,coex_ATT,17,19,0.033905228758170036
31,coex_TNV,20,13,-0.7244433198380569
32,coex_SPL,22,34,-0.406060606060606
33,coex_LCL,15,12,-0.05448717948717974
34,coex_CLS,24,23,-0.33820921985815633
35,coex_EMC,20,26,0.07482517482517448
36,coex_CLT,25,24,-0.18862244897959157
37,coex_core,25,30,0.06000000000000005
38,coex_WBL,20,36,-0.0035714285714285587
39,co-essential,5,10,-0.35079365079365066
40,GOBP,19,23,0.6204808704808706
41,ppi,49,50,0.15982271696557415
42,reactome_copathway,13,16,0.3496503496503496
43,MP,10,16,0.7874458874458878
44,HP,31,36,0.45010164232600447
45,GI_net,17,16,0.03393817204301053
46,gene_gene_on_CbG_name_mapped,17,13,-0.13514328808446474
47,gene_gene_on_GcG_name_mapped,35,30,-0.17307692307692313
48,GOMF,5,2,
