,Layer,Pyelonephritis nodes,Bronchiolitis nodes,sAB
0,coex_KDN,40,35,-0.12023809523809503
1,coex_BST,27,20,-0.29550157444894287
2,coex_OVR,29,27,-0.13793103448275845
3,coex_LNG,31,35,-0.19118376879287702
4,coex_ITI,37,32,-0.21235704395097188
5,coex_VGN,32,26,-0.3063186813186811
6,coex_HRV,24,19,-0.44764891880864943
7,coex_MSG,33,28,-0.1805939961677665
8,coex_ADV,31,21,-0.3403048564338891
9,coex_EMS,25,24,-0.10337650323774294
10,coex_SMU,25,24,-0.1807482993197278
11,coex_ARG,25,24,-0.20574829931972816
12,coex_TST,30,30,-0.1499999999999999
13,coex_PIT,37,31,-0.16253397610133846
14,coex_LVR,36,27,-0.3485449735449735
15,coex_THY,25,28,-0.3647169811320756
16,coex_PNC,28,22,-0.24074074074074092
17,coex_ATC,31,28,-0.22027290448343084
18,coex_BRO,31,30,-0.35164998146088244
19,coex_SKN,28,27,-0.27113997113997135
20,coex_ADS,23,23,-0.6739130434782608
21,coex_GEJ,29,24,-0.23426573426573416
22,coex_BRB,22,23,-0.10577514273166466
23,coex_UTR,22,17,-0.027212918660286967
24,coex_STM,31,25,-0.0788856304985337
25,coex_HRA,27,24,-0.2798717948717946
26,coex_PRS,24,23,-0.1816920359936085
27,coex_ATA,30,24,-0.3101851851851847
28,coex_FIB,22,18,-0.22117098587686823
29,coex_BRC,25,22,-0.4429400386847193
30,coex_ATT,28,24,0.020833333333333037
31,coex_TNV,19,16,-0.45892672858617134
32,coex_SPL,29,31,-0.3557100482017057
33,coex_LCL,18,21,-0.3564785373608903
34,coex_CLS,33,25,-0.054400921658986245
35,coex_EMC,30,29,-0.16924800311708532
36,coex_CLT,33,25,-0.11413476874003181
37,coex_core,38,34,-0.262770562770563
38,coex_WBL,29,35,-0.20229059365681756
39,co-essential,5,6,-0.025000000000000355
40,GOBP,12,18,0.19514106583072088
41,ppi,50,49,-0.16952380952380963
42,reactome_copathway,15,26,-0.4773684210526319
43,MP,15,14,-0.2022792022792026
44,HP,16,27,0.14222652885443576
45,GI_net,27,21,-0.6785256410256413
46,gene_gene_on_CbG_name_mapped,14,15,-0.3024630541871922
47,gene_gene_on_GcG_name_mapped,32,34,-0.29097036541889487
48,GOMF,1,2,
