,Layer,Menorrhagia nodes,Premature_ovarian_failure nodes,sAB
0,coex_KDN,33,28,-0.04647470016322486
1,coex_BST,22,20,-0.3462121212121214
2,coex_OVR,21,22,0.260930735930736
3,coex_LNG,28,23,0.2512483254171234
4,coex_ITI,25,28,-0.32795148247978423
5,coex_VGN,27,25,-0.03771786492374707
6,coex_HRV,15,8,-0.027536231884057738
7,coex_MSG,29,24,-0.06334038169594436
8,coex_ADV,18,19,0.24087245139876723
9,coex_EMS,16,22,-0.18850546975546978
10,coex_SMU,22,21,-0.06818181818181834
11,coex_ARG,18,20,-0.14098308835150952
12,coex_TST,32,33,-0.15473484848484853
13,coex_PIT,30,28,-0.09523809523809534
14,coex_LVR,36,24,-0.07222222222222241
15,coex_THY,19,22,-0.31295950519313775
16,coex_PNC,24,21,0.18015873015872996
17,coex_ATC,22,23,0.04784804567413259
18,coex_BRO,24,23,-0.043725296442687966
19,coex_SKN,23,24,0.044827320382362146
20,coex_ADS,17,17,-0.07934060721062641
21,coex_GEJ,19,22,-0.17687184792447974
22,coex_BRB,18,15,-0.6061507936507935
23,coex_UTR,16,24,-0.11874999999999991
24,coex_STM,28,26,-0.07270044770044781
25,coex_HRA,22,23,-0.1862809196905304
26,coex_PRS,21,21,0.047619047619047894
27,coex_ATA,21,17,-0.17184873949579815
28,coex_FIB,16,21,-0.20801158301158296
29,coex_BRC,22,20,-0.2862369337979094
30,coex_ATT,25,22,-0.20454545454545503
31,coex_TNV,15,11,-0.5605194805194804
32,coex_SPL,32,26,0.060267857142857206
33,coex_LCL,16,19,-0.2682800751879697
34,coex_CLS,19,22,-0.210263741393395
35,coex_EMC,26,25,-0.08448979591836725
36,coex_CLT,24,25,-0.34205029013539656
37,coex_core,27,25,-0.11799396681749608
38,coex_WBL,33,19,0.2307146542827656
39,co-essential,7,12,-0.04166666666666696
40,GOBP,26,21,0.5408612440191392
41,ppi,50,49,0.019130076272933616
42,reactome_copathway,29,13,-0.2116724738675957
43,MP,14,20,0.23917748917748916
44,HP,46,36,-0.05545245669847998
45,GI_net,16,19,0.04473039215686292
46,gene_gene_on_CbG_name_mapped,16,10,-0.07355769230769238
47,gene_gene_on_GcG_name_mapped,29,31,-0.16548016314423442
48,GOMF,4,2,
