,Layer,Prostatitis nodes,Pneumonia nodes,sAB
0,coex_KDN,36,26,-0.37158808933002474
1,coex_BST,18,11,-0.17273576097105492
2,coex_OVR,17,15,0.1547794117647059
3,coex_LNG,28,22,-0.2936700336700335
4,coex_ITI,28,24,-0.07829670329670346
5,coex_VGN,23,11,-0.015151515151515138
6,coex_HRV,12,14,-0.39102564102564075
7,coex_MSG,28,18,-0.1476017943409249
8,coex_ADV,23,18,0.11616161616161591
9,coex_EMS,20,13,0.1020833333333333
10,coex_SMU,15,10,0.023333333333333428
11,coex_ARG,18,9,-0.0092592592592593
12,coex_TST,24,17,-0.24832615973218553
13,coex_PIT,25,18,-0.08708010335917304
14,coex_LVR,23,16,-0.14279306220095678
15,coex_THY,25,20,-0.2999999999999998
16,coex_PNC,18,13,-0.17043740573152322
17,coex_ATC,24,14,0.016917293233082997
18,coex_BRO,22,19,0.03847117794486232
19,coex_SKN,21,12,0.07413419913419883
20,coex_ADS,18,11,0.18200916730328487
21,coex_GEJ,21,14,0.20952380952380922
22,coex_BRB,14,16,-0.10593501326259958
23,coex_UTR,18,8,-0.10517902813299251
24,coex_STM,26,16,0.07320121951219516
25,coex_HRA,19,11,-0.043016370602577236
26,coex_PRS,20,16,0.11858974358974317
27,coex_ATA,20,12,0.030555555555555447
28,coex_FIB,18,12,0.008333333333333526
29,coex_BRC,18,12,-0.26111111111111107
30,coex_ATT,18,10,0.06971677559912814
31,coex_TNV,12,13,-0.0017948717948716997
32,coex_SPL,30,22,-0.23999999999999955
33,coex_LCL,18,10,0.37657114127702407
34,coex_CLS,25,13,-0.09854251012145765
35,coex_EMC,27,16,-0.25767195767195794
36,coex_CLT,28,21,-0.1637003135858972
37,coex_core,32,21,-0.12427843803056038
38,coex_WBL,28,24,-0.2585714285714289
39,co-essential,6,5,-1.5027777777777778
40,GOBP,15,15,0.7954545454545454
41,ppi,50,50,0.019999999999999796
42,reactome_copathway,17,23,-0.12504445234708395
43,MP,12,13,-4.440892098500626e-16
44,HP,30,22,-0.15268065268065256
45,GI_net,19,21,-0.33757309941520486
46,gene_gene_on_CbG_name_mapped,12,10,-0.22424242424242413
47,gene_gene_on_GcG_name_mapped,27,31,-0.22969966629588434
48,GOMF,3,4,
