,Layer,Episcleritis nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,45,39,0.3719897132389207
1,coex_BST,27,28,-0.011111111111111072
2,coex_OVR,32,34,0.031687062937062915
3,coex_LNG,34,31,0.11378066378066354
4,coex_ITI,38,38,0.2894736842105261
5,coex_VGN,33,32,0.06172395033282152
6,coex_HRV,17,29,0.948364053267484
7,coex_MSG,32,32,0.359375
8,coex_ADV,29,24,0.40201465201465236
9,coex_EMS,31,28,0.3025365148793253
10,coex_SMU,26,31,0.2145204823473077
11,coex_ARG,30,32,0.1895497311827956
12,coex_TST,34,34,-0.07352941176470584
13,coex_PIT,36,34,0.13130252100840356
14,coex_LVR,32,37,0.20465686274509798
15,coex_THY,32,29,0.4269345238095239
16,coex_PNC,29,31,0.17200593251761243
17,coex_ATC,32,29,0.22574404761904732
18,coex_BRO,30,36,0.13484848484848477
19,coex_SKN,34,31,-0.12683982683982675
20,coex_ADS,30,30,0.35065033272837276
21,coex_GEJ,31,27,0.0641325536062376
22,coex_BRB,22,26,0.21518065268065234
23,coex_UTR,30,22,0.111592599422214
24,coex_STM,36,36,0.48611111111111116
25,coex_HRA,27,32,0.24426317307296141
26,coex_PRS,30,27,0.07085769980506829
27,coex_ATA,32,24,0.36011904761904745
28,coex_FIB,26,28,-0.06011127237542335
29,coex_BRC,26,36,-0.07112021857923523
30,coex_ATT,34,31,0.0224491859642022
31,coex_TNV,15,23,0.17391304347826075
32,coex_SPL,34,32,0.24256350267379667
33,coex_LCL,25,27,-0.01875850340136065
34,coex_CLS,34,34,0.2054367201426026
35,coex_EMC,32,31,0.2670890937019972
36,coex_CLT,35,32,0.19847370766488392
37,coex_core,38,35,0.3325541484199315
38,coex_WBL,33,31,0.3222598973607038
39,co-essential,6,16,0.9526515151515151
40,GOBP,21,26,1.9072727272727277
41,ppi,49,50,0.38329416615130896
42,reactome_copathway,22,15,0.5833333333333335
43,MP,17,7,1.038095238095238
44,HP,41,36,0.9365607292436557
45,GI_net,19,21,-0.022335249889429587
46,gene_gene_on_CbG_name_mapped,12,33,0.3664141414141413
47,gene_gene_on_GcG_name_mapped,28,31,0.01940951339529784
48,GOMF,9,9,
