,Layer,Movement_disorder nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,37,33,0.25546803487979997
1,coex_BST,31,23,0.1508327339124662
2,coex_OVR,28,27,-0.1088985088985086
3,coex_LNG,33,23,-0.04133728590250341
4,coex_ITI,36,31,-0.04377307013320486
5,coex_VGN,33,29,0.1104493207941486
6,coex_HRV,10,37,0.10868315123634309
7,coex_MSG,34,42,-0.0355300014742741
8,coex_ADV,27,23,0.06357487922705296
9,coex_EMS,32,30,0.34780092592592604
10,coex_SMU,29,32,0.4386217495760316
11,coex_ARG,34,23,0.07820702651770106
12,coex_TST,39,34,-0.018406915854098926
13,coex_PIT,37,25,0.24532786885245894
14,coex_LVR,29,21,0.236584564860427
15,coex_THY,24,27,0.963141025641026
16,coex_PNC,27,14,0.012711317589365834
17,coex_ATC,31,34,0.6309662822945552
18,coex_BRO,42,27,0.15297107333874704
19,coex_SKN,29,27,0.04832603539500102
20,coex_ADS,18,22,0.008261346496640343
21,coex_GEJ,34,22,-0.01024955436720143
22,coex_BRB,28,18,0.24482401656314678
23,coex_UTR,29,21,0.1781937602627255
24,coex_STM,35,31,0.11248428990364467
25,coex_HRA,31,39,0.20672338414273894
26,coex_PRS,30,39,0.26499442586399136
27,coex_ATA,27,19,-0.190185608949911
28,coex_FIB,28,15,-0.031216931216931254
29,coex_BRC,39,26,-0.0899830220713076
30,coex_ATT,28,26,0.41071428571428603
31,coex_TNV,17,21,0.44921251993620404
32,coex_SPL,29,25,0.3220434227330782
33,coex_LCL,27,17,0.11759259259259247
34,coex_CLS,33,29,0.1095302454704854
35,coex_EMC,30,23,0.24658994032395576
36,coex_CLT,34,27,0.02654600301659138
37,coex_core,32,35,0.44539835164835173
38,coex_WBL,28,29,0.09225050173326022
39,co-essential,13,9,0.9164724164724167
40,GOBP,25,19,1.7529761904761907
41,ppi,49,50,0.38247577819006384
42,reactome_copathway,10,18,-0.1671994884910486
43,MP,7,20,1.4711538461538458
44,HP,39,43,0.9862632168361041
45,GI_net,16,16,0.10000000000000009
46,gene_gene_on_CbG_name_mapped,12,11,0.17308959156785253
47,gene_gene_on_GcG_name_mapped,28,31,0.026849175974380968
48,GOMF,5,1,
