,Layer,Fibrosarcoma nodes,Bladder_neoplasm nodes,sAB
0,coex_KDN,44,36,-0.0647727272727272
1,coex_BST,26,21,-0.39954017613592097
2,coex_OVR,35,22,-0.310321257689679
3,coex_LNG,35,27,0.004495771943429094
4,coex_ITI,40,32,-0.09062499999999996
5,coex_VGN,38,28,-0.2619332421964
6,coex_HRV,25,17,-0.2645833333333334
7,coex_MSG,42,29,-0.17139041143412204
8,coex_ADV,27,20,0.18488854987710823
9,coex_EMS,26,24,-0.1705685618729098
10,coex_SMU,33,18,0.012626262626262541
11,coex_ARG,30,20,-0.19999999999999996
12,coex_TST,40,28,-0.07605042016806718
13,coex_PIT,39,26,0.0640035640035641
14,coex_LVR,35,25,-0.2378228410008072
15,coex_THY,30,23,-0.5082581350834019
16,coex_PNC,34,22,-0.1711229946524062
17,coex_ATC,35,22,-0.1327603768780241
18,coex_BRO,34,24,-0.028270791075050372
19,coex_SKN,35,24,-0.20566989507667444
20,coex_ADS,31,20,-0.3583333333333334
21,coex_GEJ,27,24,-0.36668145519077155
22,coex_BRB,23,21,-0.45783926218708837
23,coex_UTR,32,17,0.12877025810324128
24,coex_STM,38,25,-0.18045112781954908
25,coex_HRA,35,19,-0.07424046541693619
26,coex_PRS,33,24,0.31515151515151496
27,coex_ATA,33,19,-0.15111642743221676
28,coex_FIB,35,23,-0.20726129216695255
29,coex_BRC,37,25,0.17290322580645157
30,coex_ATT,35,16,-0.05899859943977592
31,coex_TNV,24,19,-0.15751334858886334
32,coex_SPL,32,23,-0.18485671936758896
33,coex_LCL,26,15,-0.5721153846153844
34,coex_CLS,32,24,0.030505952380952106
35,coex_EMC,33,23,0.0016939582156971777
36,coex_CLT,35,29,-0.2126984126984126
37,coex_core,40,31,0.12546159047173244
38,coex_WBL,33,28,0.017508417508417695
39,co-essential,11,10,-0.43918128654970756
40,GOBP,5,15,0.2928571428571436
41,ppi,50,50,0.050000000000000266
42,reactome_copathway,29,21,0.44084967320261437
43,MP,6,9,0.052380952380952195
44,HP,35,18,0.010683760683760868
45,GI_net,23,20,-0.18433583959899735
46,gene_gene_on_CbG_name_mapped,14,20,0.2703781512605039
47,gene_gene_on_GcG_name_mapped,35,29,-0.14136391625615774
48,GOMF,2,4,
