,Layer,Sinusitis nodes,Pneumonia nodes,sAB
0,coex_KDN,39,26,0.033653846153846256
1,coex_BST,21,11,0.803174603174603
2,coex_OVR,26,15,0.2150000000000003
3,coex_LNG,41,22,-0.06286576278579492
4,coex_ITI,34,24,-0.012677484787018356
5,coex_VGN,27,11,0.16632016632016677
6,coex_HRV,21,14,0.4703379953379956
7,coex_MSG,35,18,0.20681341719077562
8,coex_ADV,23,18,0.44570707070707094
9,coex_EMS,19,13,0.10285795132993725
10,coex_SMU,26,10,0.0642857142857145
11,coex_ARG,19,9,0.045530492898913755
12,coex_TST,36,17,-0.0035608583055861676
13,coex_PIT,31,18,0.12676468436837096
14,coex_LVR,26,16,-0.04496951219512191
15,coex_THY,33,20,-0.3531732418524869
16,coex_PNC,25,13,0.2838866396761135
17,coex_ATC,33,14,-0.05441190015658104
18,coex_BRO,32,19,-0.1373516511867905
19,coex_SKN,27,12,0.12769905533063408
20,coex_ADS,30,11,0.5695924764890279
21,coex_GEJ,29,14,0.027494558368656108
22,coex_BRB,28,16,-0.08694013781223076
23,coex_UTR,18,8,0.2702991452991452
24,coex_STM,33,16,0.8515963203463204
25,coex_HRA,19,11,0.025949146638802212
26,coex_PRS,26,16,-0.04487179487179471
27,coex_ATA,25,12,0.0555555555555558
28,coex_FIB,19,12,0.35519241652518385
29,coex_BRC,22,12,0.08600713012477668
30,coex_ATT,29,10,0.08355437665782484
31,coex_TNV,19,13,-0.30996691480562477
32,coex_SPL,32,22,-0.026923076923076827
33,coex_LCL,23,10,0.3447376995764091
34,coex_CLS,28,13,0.32843071562583726
35,coex_EMC,33,16,-0.023484848484848442
36,coex_CLT,31,21,0.09534804753820025
37,coex_core,35,21,-0.09724310776942358
38,coex_WBL,35,24,0.1338345864661652
39,co-essential,5,5,0.47499999999999964
40,GOBP,18,15,0.4951828063241108
41,ppi,48,50,0.2332993197278912
42,reactome_copathway,18,23,0.4069477671451356
43,MP,13,13,-0.359230769230769
44,HP,44,22,-0.08333333333333348
45,GI_net,23,21,-0.20983316481294256
46,gene_gene_on_CbG_name_mapped,8,10,0.2555555555555553
47,gene_gene_on_GcG_name_mapped,24,31,0.03405425219941338
48,GOMF,4,4,
