,Layer,Carcinoma_of_pancreas nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,42,45,-0.6258523980588644
1,coex_BST,35,42,-0.6465367965367963
2,coex_OVR,37,38,-0.7203793266951164
3,coex_LNG,40,42,-0.6014082462253192
4,coex_ITI,39,44,-0.695600584154801
5,coex_VGN,40,42,-0.623301393728223
6,coex_HRV,18,17,-0.7760504201680676
7,coex_MSG,42,45,-0.6087027914614123
8,coex_ADV,33,38,-0.8366017476469665
9,coex_EMS,34,41,-0.6062027737924438
10,coex_SMU,29,38,-0.7128829536527885
11,coex_ARG,29,38,-0.7275035891323782
12,coex_TST,39,43,-0.5149439329813691
13,coex_PIT,36,41,-0.4547126315419001
14,coex_LVR,33,39,-0.7412587412587412
15,coex_THY,32,36,-1.1962699941154442
16,coex_PNC,35,39,-0.8315315315315317
17,coex_ATC,38,42,-0.6105769230769229
18,coex_BRO,35,39,-0.5836352836352836
19,coex_SKN,41,45,-0.4201676435369004
20,coex_ADS,26,32,-1.2206477732793524
21,coex_GEJ,35,37,-0.6575718220291542
22,coex_BRB,20,24,-0.4734580384226488
23,coex_UTR,31,38,-0.865376676986584
24,coex_STM,39,43,-0.6264089474526229
25,coex_HRA,32,38,-0.6824512192121257
26,coex_PRS,36,44,-0.7266414141414141
27,coex_ATA,29,37,-0.7897089397089398
28,coex_FIB,31,41,-0.5096817903662908
29,coex_BRC,34,39,-0.3826731957271845
30,coex_ATT,31,37,-0.9097902456536231
31,coex_TNV,21,17,-1.0067079463364297
32,coex_SPL,34,41,-0.710047824007652
33,coex_LCL,28,35,-0.6934622665095183
34,coex_CLS,38,43,-0.5972505553288907
35,coex_EMC,38,42,-0.4703463203463205
36,coex_CLT,39,44,-0.5052806628544755
37,coex_core,40,44,-0.4562229437229437
38,coex_WBL,32,41,-0.8716118860674906
39,co-essential,19,22,-1.4
40,GOBP,11,14,0.985897435897436
41,ppi,49,48,-0.30834034644785735
42,reactome_copathway,32,37,-0.6719173299818462
43,MP,15,15,0.2142857142857144
44,HP,34,42,-0.34434857380062867
45,GI_net,31,37,-0.559708190163598
46,gene_gene_on_CbG_name_mapped,13,14,-0.6315628815628814
47,gene_gene_on_GcG_name_mapped,33,35,-0.3985357779475427
48,GOMF,3,5,
