,Layer,Atherosclerosis nodes,Glaucoma nodes,sAB
0,coex_KDN,36,16,0.125
1,coex_BST,19,13,0.3546305668016192
2,coex_OVR,24,14,0.07701024005371782
3,coex_LNG,28,13,0.32799517555615143
4,coex_ITI,35,19,0.2355611250348093
5,coex_VGN,26,16,0.5629807692307693
6,coex_HRV,21,5,-0.046929824561403155
7,coex_MSG,32,17,0.26307397959183687
8,coex_ADV,25,7,0.2857142857142856
9,coex_EMS,24,7,0.8875000000000002
10,coex_SMU,25,6,0.414301075268817
11,coex_ARG,23,6,0.6450216450216453
12,coex_TST,30,27,0.5159844054580895
13,coex_PIT,34,15,0.42438975590236105
14,coex_LVR,37,11,0.4088349713349708
15,coex_THY,24,6,1.2889610389610389
16,coex_PNC,23,9,0.6968599033816423
17,coex_ATC,25,8,0.4066071428571427
18,coex_BRO,27,19,0.3611111111111116
19,coex_SKN,23,13,0.34712346477052325
20,coex_ADS,24,7,0.3693356374807988
21,coex_GEJ,25,6,1.226666666666667
22,coex_BRB,23,19,0.535112525038294
23,coex_UTR,21,7,-4.440892098500626e-16
24,coex_STM,33,11,0.5833333333333335
25,coex_HRA,28,3,0.6870026525198938
26,coex_PRS,24,12,0.5877705627705629
27,coex_ATA,27,4,1.0487179487179485
28,coex_FIB,19,8,0.24975633528265107
29,coex_BRC,29,14,0.011904761904761862
30,coex_ATT,26,6,1.1166666666666667
31,coex_TNV,20,8,0.7008547008547006
32,coex_SPL,26,8,0.4498001998001997
33,coex_LCL,18,4,0.4604341736694675
34,coex_CLS,27,12,0.9794197031039134
35,coex_EMC,27,13,0.6695156695156692
36,coex_CLT,23,18,0.6760101010101012
37,coex_core,34,12,0.6884469696969695
38,coex_WBL,30,7,-0.037219485495347815
39,co-essential,10,6,-0.09523809523809534
40,GOBP,13,23,2.5
41,ppi,50,50,0.41000000000000014
42,reactome_copathway,36,16,1.102092352092352
43,MP,9,31,2.702750206782465
44,HP,22,49,0.8779952441924275
45,GI_net,26,16,0.21246963562753063
46,gene_gene_on_CbG_name_mapped,26,10,0.5350427350427349
47,gene_gene_on_GcG_name_mapped,31,29,-0.04482758620689653
48,GOMF,2,3,
