,Layer,Laryngeal_edema nodes,Hepatic_encephalopathy nodes,sAB
0,coex_KDN,42,38,-0.02847744360902249
1,coex_BST,23,20,0.3660578830668686
2,coex_OVR,32,24,-0.05203072390572405
3,coex_LNG,33,31,-0.07988147605083107
4,coex_ITI,36,29,-0.20603448275862046
5,coex_VGN,33,23,0.030303030303030276
6,coex_HRV,22,19,0.1790404040404039
7,coex_MSG,36,27,0.14021164021164023
8,coex_ADV,27,29,-0.054482758620689964
9,coex_EMS,32,27,0.050467597742347436
10,coex_SMU,29,27,0.17038405400474366
11,coex_ARG,26,24,0.24
12,coex_TST,31,31,-0.032258064516129004
13,coex_PIT,33,30,0.0689033189033188
14,coex_LVR,34,32,-0.045621657754010725
15,coex_THY,30,25,-0.023939393939393927
16,coex_PNC,28,28,0.125
17,coex_ATC,31,29,-0.10386237600562387
18,coex_BRO,32,35,0.1169043176972282
19,coex_SKN,34,30,0.08446969696969697
20,coex_ADS,31,24,0.22110539712222765
21,coex_GEJ,31,28,-0.1401133159835175
22,coex_BRB,25,26,0.04166666666666674
23,coex_UTR,19,21,-0.12207602339181323
24,coex_STM,38,29,0.1049516482921149
25,coex_HRA,31,25,-0.034074074074074145
26,coex_PRS,28,25,0.05402930402930384
27,coex_ATA,31,28,0.20579161134109203
28,coex_FIB,27,22,-0.00819418676561523
29,coex_BRC,29,29,-0.08604845446950704
30,coex_ATT,32,28,-0.04915514592933912
31,coex_TNV,22,17,0.1266447368421053
32,coex_SPL,40,34,-0.26937599364069964
33,coex_LCL,18,17,-0.020262943887232154
34,coex_CLS,34,32,-0.1314826302729526
35,coex_EMC,34,24,-0.1883497105936196
36,coex_CLT,37,27,-0.023809523809523947
37,coex_core,41,35,-0.042293233082706605
38,coex_WBL,33,31,-0.012814638318670468
39,co-essential,4,7,-1.7857142857142856
40,GOBP,21,18,0.012544802867383797
41,ppi,50,49,-0.029134199134199124
42,reactome_copathway,18,23,0.017481203007518875
43,MP,16,14,-0.6502976190476195
44,HP,31,34,0.18877536126112981
45,GI_net,14,29,-0.17857142857142883
46,gene_gene_on_CbG_name_mapped,8,30,0.11973684210526314
47,gene_gene_on_GcG_name_mapped,30,34,-0.22334558823529416
48,GOMF,7,8,
