,Layer,Ascites nodes,Kidney_damage nodes,sAB
0,coex_KDN,44,46,-0.011539306104523472
1,coex_BST,34,25,0.044216589861751254
2,coex_OVR,29,31,0.0728401928068223
3,coex_LNG,32,40,0.1934027777777776
4,coex_ITI,37,36,-0.0009759759759759845
5,coex_VGN,32,37,0.077336641852771
6,coex_HRV,15,22,0.0014430014430013571
7,coex_MSG,39,38,-0.13084722295248596
8,coex_ADV,28,29,-0.17779946504735067
9,coex_EMS,31,29,0.06580459770114944
10,coex_SMU,27,26,0.036674192334570144
11,coex_ARG,26,30,0.11560163973957072
12,coex_TST,39,39,0.0
13,coex_PIT,34,33,-0.030303030303030054
14,coex_LVR,31,32,0.14243311571940587
15,coex_THY,30,31,-0.14427141268075605
16,coex_PNC,33,29,0.09951798294401204
17,coex_ATC,35,36,0.14202436843281907
18,coex_BRO,28,33,0.19867844020386394
19,coex_SKN,35,30,-0.04126984126984112
20,coex_ADS,23,23,-0.0919191919191924
21,coex_GEJ,29,29,0.05295394260911479
22,coex_BRB,20,30,0.09228010108420959
23,coex_UTR,26,27,-0.038461538461538325
24,coex_STM,38,38,-0.05263157894736836
25,coex_HRA,29,28,0.05295566502463034
26,coex_PRS,29,29,0.01812721458819455
27,coex_ATA,28,29,0.19642857142857117
28,coex_FIB,28,26,0.004164420485175402
29,coex_BRC,28,33,-0.02172619047619051
30,coex_ATT,30,31,-0.03415156828365484
31,coex_TNV,13,17,-0.0853705118410999
32,coex_SPL,37,35,0.23946456516879033
33,coex_LCL,29,20,-0.255612244897959
34,coex_CLS,29,33,-0.11353518937252671
35,coex_EMC,38,31,0.018464052287581634
36,coex_CLT,32,33,0.12903225806451601
37,coex_core,38,40,0.1671617437871309
38,coex_WBL,33,28,0.44593180043999725
39,co-essential,10,10,0.22222222222222232
40,GOBP,29,21,0.4370370370370371
41,ppi,49,50,0.0899299113584826
42,reactome_copathway,18,23,0.6044226044226044
43,MP,12,16,0.030934343434343425
44,HP,43,45,0.21111111111111103
45,GI_net,23,16,-0.1671650717703348
46,gene_gene_on_CbG_name_mapped,10,15,0.29666666666666663
47,gene_gene_on_GcG_name_mapped,32,35,-0.0690898187633262
48,GOMF,4,4,
