,Layer,Glioma nodes,Medulloblastoma nodes,sAB
0,coex_KDN,37,41,-0.15453915453915457
1,coex_BST,24,34,0.167971734148205
2,coex_OVR,23,37,-0.26422146337400565
3,coex_LNG,31,41,-0.284640265757496
4,coex_ITI,37,41,-0.02518465933100078
5,coex_VGN,30,37,-0.10564743848325953
6,coex_HRV,12,15,0.14256410256410224
7,coex_MSG,34,41,-0.204050693448111
8,coex_ADV,22,32,-0.0015492723952856835
9,coex_EMS,25,38,-0.2693065998329156
10,coex_SMU,25,36,-0.023041894353370118
11,coex_ARG,20,36,-0.046428571428571486
12,coex_TST,36,45,-0.1509259259259259
13,coex_PIT,30,39,0.11622073578595304
14,coex_LVR,26,33,0.06603970741901777
15,coex_THY,27,30,-0.3573099415204677
16,coex_PNC,25,34,-0.06252243270189428
17,coex_ATC,29,36,-0.16765873015873023
18,coex_BRO,30,37,-0.13282237461341984
19,coex_SKN,28,40,0.09401260504201714
20,coex_ADS,27,28,-0.1580406386066766
21,coex_GEJ,24,34,-0.12340510366826152
22,coex_BRB,25,20,-0.3282078743370054
23,coex_UTR,19,30,0.023611111111110805
24,coex_STM,34,40,-0.09994038155802865
25,coex_HRA,19,35,-0.09947089947089927
26,coex_PRS,21,35,-0.4023809523809523
27,coex_ATA,27,36,-0.05903540903540927
28,coex_FIB,25,34,-0.08126620139581253
29,coex_BRC,31,36,-0.15714438559888722
30,coex_ATT,27,36,-0.14074993107251155
31,coex_TNV,22,17,-0.38095238095238093
32,coex_SPL,27,39,-0.2134352976458238
33,coex_LCL,20,29,0.1464965605503119
34,coex_CLS,30,38,-0.1369558739875938
35,coex_EMC,29,37,-0.1842328221638565
36,coex_CLT,36,42,-0.1593636715587936
37,coex_core,33,43,-0.15990690256296114
38,coex_WBL,30,37,0.14450719376092502
39,co-essential,13,22,-0.7019666100735713
40,GOBP,8,7,0.16666666666666696
41,ppi,49,50,-0.06115233972376832
42,reactome_copathway,27,22,0.08873706004140769
43,MP,12,13,-0.22960372960372943
44,HP,25,27,-0.06508856682769726
45,GI_net,29,31,-0.074324940704251
46,gene_gene_on_CbG_name_mapped,15,7,0.15800865800865815
47,gene_gene_on_GcG_name_mapped,26,33,-0.06232468096874877
48,GOMF,3,0,
