,Layer,Premature_ovarian_failure nodes,Joint_hemorrhage nodes,sAB
0,coex_KDN,28,37,0.23739976239976235
1,coex_BST,20,15,-0.15567226890756336
2,coex_OVR,22,21,0.6506594181012786
3,coex_LNG,23,21,0.2657632222849613
4,coex_ITI,28,26,0.2075702075702075
5,coex_VGN,25,24,0.20833333333333348
6,coex_HRV,8,24,-0.17708333333333304
7,coex_MSG,24,32,0.21502976190476208
8,coex_ADV,19,16,0.5174812030075189
9,coex_EMS,22,16,0.1712918275418276
10,coex_SMU,21,21,0.14982578397212531
11,coex_ARG,20,15,0.15071770334928214
12,coex_TST,33,30,0.13961038961038952
13,coex_PIT,28,34,0.3245535714285712
14,coex_LVR,24,40,0.1020833333333333
15,coex_THY,22,19,0.03620609172598854
16,coex_PNC,21,27,0.36461927766275615
17,coex_ATC,23,24,0.08233117483811325
18,coex_BRO,23,27,0.4046072974644406
19,coex_SKN,24,24,0.21504008633980876
20,coex_ADS,17,26,0.03173076923076934
21,coex_GEJ,22,16,0.19017379679144364
22,coex_BRB,15,21,0.2547619047619052
23,coex_UTR,24,13,-0.29248960498960486
24,coex_STM,26,31,0.11685385921379154
25,coex_HRA,23,16,0.07702759197324438
26,coex_PRS,21,19,-0.1736842105263161
27,coex_ATA,17,25,0.08529411764705896
28,coex_FIB,21,12,0.07792207792207773
29,coex_BRC,20,19,0.7639001349527663
30,coex_ATT,22,27,0.17147435897435903
31,coex_TNV,11,22,-0.02218614718614731
32,coex_SPL,26,35,0.21372549019607856
33,coex_LCL,19,12,-0.04146730462519965
34,coex_CLS,22,25,0.08442940038684732
35,coex_EMC,25,24,0.3514361702127662
36,coex_CLT,25,26,0.26000000000000023
37,coex_core,25,30,0.13131545338441875
38,coex_WBL,19,24,0.5939849624060152
39,co-essential,12,1,
40,GOBP,21,23,0.47455595510515414
41,ppi,49,50,0.14983714698000417
42,reactome_copathway,13,31,0.2833333333333332
43,MP,20,17,1.6848214285714285
44,HP,36,39,0.10961538461538467
45,GI_net,19,10,-0.2738095238095237
46,gene_gene_on_CbG_name_mapped,10,23,0.07259552042160733
47,gene_gene_on_GcG_name_mapped,31,32,-0.1101110471070148
48,GOMF,2,5,
