,Layer,Eczematoid_dermatitis nodes,Conjunctivitis nodes,sAB
0,coex_KDN,43,40,-0.16040940766550538
1,coex_BST,19,27,-0.2415035172472244
2,coex_OVR,32,31,-0.3106518817204298
3,coex_LNG,33,35,-0.16489078670816992
4,coex_ITI,30,36,-0.12323232323232336
5,coex_VGN,36,35,-0.26764705882352935
6,coex_HRV,13,19,-0.2690799396681749
7,coex_MSG,35,38,-0.11171310629514974
8,coex_ADV,21,27,-0.2134615384615386
9,coex_EMS,27,30,-0.585727969348659
10,coex_SMU,25,27,-0.38148148148148153
11,coex_ARG,25,29,-0.3628762541806019
12,coex_TST,31,33,-0.03387707722385125
13,coex_PIT,26,33,-0.31572241318004046
14,coex_LVR,26,28,0.0331705331705332
15,coex_THY,28,34,-0.2365478449444296
16,coex_PNC,23,29,-0.23941875216238007
17,coex_ATC,28,32,-0.08050595238095215
18,coex_BRO,24,32,-0.47023809523809557
19,coex_SKN,34,32,-0.12210338680926935
20,coex_ADS,27,29,-0.5076628352490422
21,coex_GEJ,31,35,-0.3873626373626373
22,coex_BRB,18,22,-0.4383971291866027
23,coex_UTR,18,26,-0.4177611006879296
24,coex_STM,26,30,-0.3182234432234432
25,coex_HRA,19,25,-0.10918660287081328
26,coex_PRS,28,33,-0.4911823149528072
27,coex_ATA,26,29,-0.06690378586930334
28,coex_FIB,18,23,-0.2074808184143222
29,coex_BRC,18,25,-0.07736434108527179
30,coex_ATT,27,31,0.01906751991641631
31,coex_TNV,16,18,0.02777777777777768
32,coex_SPL,33,36,-0.033871321914800134
33,coex_LCL,17,29,-0.21088334323628444
34,coex_CLS,26,33,-0.3591817786733038
35,coex_EMC,35,36,-0.028504359490274966
36,coex_CLT,32,37,-0.23919843597262935
37,coex_core,39,42,-0.08918370658876995
38,coex_WBL,33,38,-0.10877305299099227
39,co-essential,7,5,-1.1904761904761905
40,GOBP,22,21,0.4588554720133664
41,ppi,50,50,-0.040000000000000036
42,reactome_copathway,22,26,0.5135162601626013
43,MP,14,16,0.14132957559681714
44,HP,44,46,-0.02257356170399638
45,GI_net,19,21,-0.29429824561403506
46,gene_gene_on_CbG_name_mapped,7,9,0.37003968253968256
47,gene_gene_on_GcG_name_mapped,33,35,-0.32644512350394694
48,GOMF,6,6,
